"studyName","studyYear","studyLoc","germplasmName","peaName","pea_type","observationLevel","observationUnitName","plotNumber","blockNumber","oat_yield","pea_yield","oat_fraction","location","management"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SABER","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_1",1,"1",99.29453263,163.8007055,0.377409083249682,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ND170376","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_2",2,"1",25.79365079,64.7707231,0.284810126566205,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","NATTY","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_3",3,"1",4.938271605,100.308642,0.0469208211039207,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","WI_X10680-3","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_4",4,"1",87.25749559,172.5308642,0.335879158175272,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ND170307","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_5",5,"1",50.48500882,131.3492063,0.27764306506717,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ESKER","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_6",6,"1",56.39329806,101.5873016,0.356963438430843,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD180580","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_7",7,"1",54.71781305,116.622575,0.319351518183981,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-1253","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_8",8,"1",81.74603175,125,0.395393474099897,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","CORRAL","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_9",9,"1",0.3086419753,115.1234568,0.00267379679114041,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","A25","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_10",10,"1",36.15520282,88.22751323,0.290677064854141,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","EXCEL","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_11",11,"1",37.91887125,219.8853616,0.147083974653211,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD181237","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_12",12,"1",108.377425,108.8183422,0.49898497745678,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-5238","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_13",13,"1",51.58730159,104.6296296,0.330228619887921,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-1704","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_14",14,"1",66.57848325,162.8747795,0.290161414364111,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","A11","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_15",15,"1",43.51851852,150.3968254,0.224420190998159,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","WARRIOR","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_16",16,"1",25.92592593,169.2680776,0.132821323714565,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ND161488","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_17",17,"1",0.5731922399,142.372134,0.00400987045171405,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","A10","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_18",18,"1",31.34920635,147.0017637,0.175772558687017,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","OT3120","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_19",19,"1",71.78130511,127.2486772,0.360655737778224,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","LEGGETT","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_20",20,"1",88.49206349,122.5749559,0.41926049719065,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","HORSEPOWER","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_21",21,"1",60.14109347,119.7530864,0.334313725510524,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","RUSHMORE","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_22",22,"1",11.33156966,169.664903,0.0626065773186986,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","BAKER","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_23",23,"1",53.17460317,132.8042328,0.285917496432645,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","MN18015X_004","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_24",24,"1",105.4232804,166.0493827,0.388338476501283,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","REINS","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_25",25,"1",103.5714286,159.5238095,0.393665158472513,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","A11","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_26",26,"2",44.04761905,209.5679012,0.173678720476493,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD190992","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_28",28,"2",114.4620811,108.1569665,0.514161219958431,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-7339","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_29",29,"2",43.69488536,140.7848325,0.236854684443737,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","GOLIATH","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_30",30,"2",14.68253968,116.005291,0.11234817812495,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","OGLE","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_31",31,"2",99.95590829,47.26631393,0.678945792168739,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","OT2130","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_32",32,"2",98.63315697,131.8342152,0.427970154913057,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD180580","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_33",33,"2",61.0670194,127.5132275,0.323825111080603,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","A25","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_34",34,"2",38.35978836,182.9365079,0.173341303077803,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","GOPHER","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_35",35,"2",82.76014109,136.5520282,0.37736228389846,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","RUSHMORE","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_36",36,"2",126.5873016,107.010582,0.541902604805962,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","DEON","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_37",37,"2",7.58377425,41.18165785,0.155515370692265,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL17-5238","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_38",38,"2",5.511463845,112.8747795,0.0465549348410233,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD181245","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_39",39,"2",74.38271605,95.81128748,0.43704663212114,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","IL15-5752","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_40",40,"2",38.97707231,125.8377425,0.236490101663088,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD181245","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_41",41,"2",144.7089947,129.7178131,0.527313624569298,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","WI_X10680-3","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_42",42,"2",147.5308642,115.5643739,0.560750796044149,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","NEWBURG","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_43",43,"2",53.52733686,130.1587302,0.291406624991952,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SPURS","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_44",44,"2",143.2539683,79.32098765,0.643621236219321,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","COLT","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_45",45,"2",84.70017637,84.03880071,0.501959759598656,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","ND161488","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_46",46,"2",112.3015873,123.8536155,0.475541448879736,"NY","intercrop"
"Cornell_OatPeaIntercropPilot_2023_Ithaca","2023","NY","SD190850","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_47",47,"2",118.5185185,97.57495591,0.548459498018583,"NY","intercrop"
