"seedlot_name","accession_name","operator_name","amount","weight_gram","description","box_name","quality","source"
"BAKER-A-2023-SOPF-oatEntry_1","BAKER","Peter Hyde","",10,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"BUCKSKIN-A-2023-SOPF-oatEntry_2","BUCKSKIN","Peter Hyde","",9,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"COLT-A-2023-SOPF-oatEntry_3","COLT","Peter Hyde","",9,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"CORRAL-A-2023-SOPF-oatEntry_4","CORRAL","Peter Hyde","",9,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"DEON-A-2023-SOPF-oatEntry_5","DEON","Peter Hyde","",9,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"ESKER-A-2023-SOPF-oatEntry_6","ESKER","Peter Hyde","",11,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"EXCEL-A-2023-SOPF-oatEntry_7","EXCEL","Peter Hyde","",10,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"GOLIATH-A-2023-SOPF-oatEntry_8","GOLIATH","Peter Hyde","",9,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_WI 2022 trials","Box 1 and 2","good",""
"HAYDEN-A-2023-SOPF-oatEntry_9","HAYDEN","Peter Hyde","",10,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_IL 2022 trials","Box 1 and 2","good",""
"HORSEPOWER-A-2023-SOPF-oatEntry_10","HORSEPOWER","Peter Hyde","",9,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_IL 2022 trials","Box 1 and 2","good",""
"IL17-1253-A-2023-SOPF-oatEntry_11","IL17-1253","Peter Hyde","",31,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_NY 2022 trials","Box 1 and 2","good",""
"IL17-5238-A-2023-SOPF-oatEntry_12","IL17-5238","Peter Hyde","",36,"Subset of souce seed use for 2023 spring oat trial and T3-oat genotyping project USDA-Ithaca2024Jannink-O3K source_NY 2022 trials","Box 1 and 2","good",""
