RANGE,COLUMN,YEAR,LOC,LOC_C,TRL,NUR_CODE,REP,BLOCK,PLOTnb,Plot,Check,PLOT_ID,oatAcc,peaAcc,pair,oatName,peaName,Har_ord,HD,Crown Rust 06 28 2024
1,1,2024,Volga,1,OatPea,72,1,1,1,101,0,20240172101,16,10,1,NATTY,ND Dawn,1,6/13/2024,50
1,2,2024,Volga,1,OatPea,72,1,1,2,102,0,20240172102,16,na,1,NATTY,na,30,6/13/2024,35
1,3,2024,Volga,1,OatPea,72,1,1,4,103,0,20240172103,29,10,2,IL15-5752,ND Dawn,31,6/11/2024,15
1,4,2024,Volga,1,OatPea,72,1,1,6,104,0,20240172104,48,11,3,WI_X10710-7,ND Victory,60,6/16/2024,0
1,5,2024,Volga,1,OatPea,72,1,1,7,105,0,20240172105,8,7,4,GOLIATH,NDP150412G,61,6/18/2024,50
1,6,2024,Volga,1,OatPea,72,1,1,10,106,0,20240172106,34,7,5,ND170307,NDP150412G,90,6/21/2024,50
1,7,2024,Volga,1,OatPea,72,1,1,12,107,0,20240172107,39,6,6,SD180580,Frostmaster Peas,91,6/17/2024,35
2,7,2024,Volga,1,OatPea,72,1,1,14,108,0,20240172108,32,8,7,MN18038X_008,NDP150231Y,92,6/19/2024,0
2,6,2024,Volga,1,OatPea,72,1,1,16,109,0,20240172109,6,5,8,ESKER,Organic 4010,89,6/13/2024,35
2,5,2024,Volga,1,OatPea,72,1,1,17,110,0,20240172110,24,10,9,WARRIOR,ND Dawn,62,6/16/2024,35
2,4,2024,Volga,1,OatPea,72,1,1,19,111,1,20240172111,41,na,10,SD181245,na,59,6/17/2024,0
2,3,2024,Volga,1,OatPea,72,1,1,20,112,1,20240172112,41,4,10,SD181245,Icicle Winter Peas,32,6/17/2024,0
2,2,2024,Volga,1,OatPea,72,1,1,21,113,0,20240172113,30,9,11,IL17-1704,NDP140510Y,29,6/14/2024,5
2,1,2024,Volga,1,OatPea,72,1,1,24,114,0,20240172114,37,1,12,OT3120,AUSTRIAN FIELD PEAS,2,6/18/2024,55
3,1,2024,Volga,1,OatPea,72,1,1,25,115,0,20240172115,4,12,13,CORRAL,Maxum,3,6/15/2024,60
3,2,2024,Volga,1,OatPea,72,1,1,27,116,0,20240172116,38,1,14,SD170935,AUSTRIAN FIELD PEAS,28,6/19/2024,5
3,3,2024,Volga,1,OatPea,72,1,1,29,117,0,20240172117,31,2,15,MN18015X_004,delta field pea,33,6/11/2024,20
3,4,2024,Volga,1,OatPea,72,1,1,31,118,0,20240172118,22,8,16,SADDLE,NDP150231Y,58,6/11/2024,30
3,5,2024,Volga,1,OatPea,72,1,1,33,119,0,20240172119,35,1,17,ND170376,AUSTRIAN FIELD PEAS,63,6/22/2024,0
3,6,2024,Volga,1,OatPea,72,1,1,35,120,0,20240172120,12,4,18,IL17-5238,Icicle Winter Peas,88,6/11/2024,50
3,7,2024,Volga,1,OatPea,72,1,1,38,121,0,20240172121,5,6,19,DEON,Frostmaster Peas,93,6/22/2024,35
4,7,2024,Volga,1,OatPea,72,1,1,40,122,0,20240172122,21,4,20,SABER,Icicle Winter Peas,94,6/12/2024,50
4,6,2024,Volga,1,OatPea,72,1,1,42,123,0,20240172123,2,3,21,BUCKSKIN,DS Admiral,87,6/11/2024,55
4,5,2024,Volga,1,OatPea,72,1,1,44,124,0,20240172124,18,2,22,OGLE,delta field pea,64,6/13/2024,50
