RANGE,COLUMN,YEAR,LOC,LOC_C,TRL,NUR_CODE,REP,BLOCK,PLOTnb,Plot,Check,PLOT_ID,oatAcc,peaAcc,pair,oatName,peaName,Har_ord,Oat Plant Height
1,1,2024,Volga,1,OatPea,72,1,1,1,101,0,20240172101,16,10,1,NATTY,ND Dawn,1,45
1,2,2024,Volga,1,OatPea,72,1,1,2,102,0,20240172102,16,na,1,NATTY,na,30,46
1,3,2024,Volga,1,OatPea,72,1,1,4,103,0,20240172103,29,10,2,IL15-5752,ND Dawn,31,38
1,4,2024,Volga,1,OatPea,72,1,1,6,104,0,20240172104,48,11,3,WI_X10710-7,ND Victory,60,37
1,5,2024,Volga,1,OatPea,72,1,1,7,105,0,20240172105,8,7,4,GOLIATH,NDP150412G,61,45
1,6,2024,Volga,1,OatPea,72,1,1,10,106,0,20240172106,34,7,5,ND170307,NDP150412G,90,42
1,7,2024,Volga,1,OatPea,72,1,1,12,107,0,20240172107,39,6,6,SD180580,Frostmaster Peas,91,40
2,7,2024,Volga,1,OatPea,72,1,1,14,108,0,20240172108,32,8,7,MN18038X_008,NDP150231Y,92,41
2,6,2024,Volga,1,OatPea,72,1,1,16,109,0,20240172109,6,5,8,ESKER,Organic 4010,89,39
2,5,2024,Volga,1,OatPea,72,1,1,17,110,0,20240172110,24,10,9,WARRIOR,ND Dawn,62,41
2,4,2024,Volga,1,OatPea,72,1,1,19,111,1,20240172111,41,na,10,SD181245,na,59,52
2,3,2024,Volga,1,OatPea,72,1,1,20,112,1,20240172112,41,4,10,SD181245,Icicle Winter Peas,32,51
2,2,2024,Volga,1,OatPea,72,1,1,21,113,0,20240172113,30,9,11,IL17-1704,NDP140510Y,29,40
2,1,2024,Volga,1,OatPea,72,1,1,24,114,0,20240172114,37,1,12,OT3120,AUSTRIAN FIELD PEAS,2,43
3,1,2024,Volga,1,OatPea,72,1,1,25,115,0,20240172115,4,12,13,CORRAL,Maxum,3,38
3,2,2024,Volga,1,OatPea,72,1,1,27,116,0,20240172116,38,1,14,SD170935,AUSTRIAN FIELD PEAS,28,49
3,3,2024,Volga,1,OatPea,72,1,1,29,117,0,20240172117,31,2,15,MN18015X_004,delta field pea,33,36
3,4,2024,Volga,1,OatPea,72,1,1,31,118,0,20240172118,22,8,16,SADDLE,NDP150231Y,58,42
