plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,ManagementFactor:SpringOatPeaIntercrop_2024_AL_AUSTRIAN FIELD PEAS,ManagementFactor:SpringOatPeaIntercrop_2024_AL_DS Admiral,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Frostmaster Peas,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Icicle Winter Peas,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Maxum,ManagementFactor:SpringOatPeaIntercrop_2024_AL_ND Dawn,ManagementFactor:SpringOatPeaIntercrop_2024_AL_ND Victory,ManagementFactor:SpringOatPeaIntercrop_2024_AL_NDP140510Y,ManagementFactor:SpringOatPeaIntercrop_2024_AL_NDP150231Y,ManagementFactor:SpringOatPeaIntercrop_2024_AL_NDP150412G,ManagementFactor:SpringOatPeaIntercrop_2024_AL_Organic 4010,ManagementFactor:SpringOatPeaIntercrop_2024_AL_delta field pea
SpringOatPeaIntercrop_2024_AL_1,711639,SABER,1,1,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_2,711718,SABER,2,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_3,711664,BUCKSKIN,3,1,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_4,711686,BUCKSKIN,4,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_5,711659,SD191467,5,1,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_AL_6,711569,SD191467,6,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_7,711621,ND170376,7,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_8,711593,ND170376,8,1,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_AL_9,711578,ESKER,9,1,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_AL_10,711626,ESKER,10,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_11,711633,IL17-1704,11,1,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_AL_12,711755,IL17-1704,12,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_13,711612,MN18038X_008,13,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_AL_14,711646,MN18038X_008,14,1,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_AL_15,711674,ND170307,15,1,,1,,,,,,,,,1,,,,,
