plot_name,plot_id,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,ManagementFactor:SpringOatPeaIntercrop_2024_IL_AUSTRIAN FIELD PEAS,ManagementFactor:SpringOatPeaIntercrop_2024_IL_DS Admiral,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Frostmaster Peas,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Icicle Winter Peas,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Maxum,ManagementFactor:SpringOatPeaIntercrop_2024_IL_ND Dawn,ManagementFactor:SpringOatPeaIntercrop_2024_IL_ND Victory,ManagementFactor:SpringOatPeaIntercrop_2024_IL_NDP140510Y,ManagementFactor:SpringOatPeaIntercrop_2024_IL_NDP150231Y,ManagementFactor:SpringOatPeaIntercrop_2024_IL_NDP150412G,ManagementFactor:SpringOatPeaIntercrop_2024_IL_Organic 4010,ManagementFactor:SpringOatPeaIntercrop_2024_IL_delta field pea
SpringOatPeaIntercrop_2024_IL_1,711365,ND170376,1,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_2,711409,ND170376,2,1,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_3,711539,IL17-5238,3,1,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_4,711421,IL17-5238,4,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_5,711503,SD181245,5,1,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_6,711542,SD181245,6,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_7,711564,WI_X10680-3,7,1,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_8,711490,WI_X10680-3,8,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_9,711457,OT3120,9,1,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_10,711527,OT3120,10,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_11,711391,MN18038X_008,11,1,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_12,711408,MN18038X_008,12,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_13,711514,SD170935,13,1,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_IL_14,711432,SD170935,14,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_15,711496,REINS,15,1,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_16,711560,REINS,16,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_17,711540,GOPHER,17,1,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_18,711510,GOPHER,18,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_19,711446,SD181237,19,1,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_20,711453,SD181237,20,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_21,711488,DEON,21,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_22,711480,DEON,22,1,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_23,711464,SD190992,23,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_24,711541,SD190992,24,1,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_25,711383,ESKER,25,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_26,711422,ESKER,26,1,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_27,711438,IL15-5752,27,1,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_28,711366,IL15-5752,28,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_29,711533,EXCEL,29,1,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_30,711493,EXCEL,30,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_31,711456,BAKER,31,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_32,711419,BAKER,32,1,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_33,711494,WARRIOR,33,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_34,711411,WARRIOR,34,1,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_35,711513,CORRAL,35,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_36,711479,CORRAL,36,1,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_37,711474,SADDLE,37,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_38,711535,SADDLE,38,1,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_39,711367,RUSHMORE,39,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_40,711516,RUSHMORE,40,1,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_41,711377,MN18038X_008,41,1,1,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_42,711393,MN18038X_008,42,1,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_43,711526,MN18015X_004,43,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_44,711430,MN18015X_004,44,1,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_45,711491,BUCKSKIN,45,1,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_46,711553,BUCKSKIN,46,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_47,711548,NEWBURG,47,1,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_48,711501,NEWBURG,48,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_49,711444,NATTY,49,1,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_50,711392,NATTY,50,1,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_51,711528,A25,51,2,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_52,711562,A25,52,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_53,711375,SD180580,53,2,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_54,711473,SD180580,54,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_55,711458,IL17-7339,55,2,,1,,,,,,,,,,,,,1,
SpringOatPeaIntercrop_2024_IL_56,711401,IL17-7339,56,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_57,711412,IL17-1704,57,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_58,711452,IL17-1704,58,2,,1,,,,,,,,,,,,,,1
SpringOatPeaIntercrop_2024_IL_59,711509,OGLE,59,2,1,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_60,711561,OGLE,60,2,1,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_61,711407,GOLIATH,61,2,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_62,711390,GOLIATH,62,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_63,711551,SD181245,63,2,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_64,711445,SD181245,64,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_65,711482,MN18015X_004,65,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_66,711525,MN18015X_004,66,2,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_67,711531,A10,67,2,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_68,711475,A10,68,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_69,711433,SPURS,69,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_70,711476,SPURS,70,2,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_71,711437,WI_X10680-3,71,2,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_IL_72,711448,WI_X10680-3,72,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_73,711466,SD191467,73,2,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_74,711386,SD191467,74,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_75,711543,NEWBURG,75,2,,1,,,,,,,,,,,,1,,
SpringOatPeaIntercrop_2024_IL_76,711507,NEWBURG,76,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_77,711489,ND161488,77,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_78,711563,ND161488,78,2,,1,,,,,,,,1,,,,,,
SpringOatPeaIntercrop_2024_IL_79,711403,WARRIOR,79,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_80,711450,WARRIOR,80,2,,1,,,,1,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_81,711512,SD181377,81,2,,1,,,1,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_82,711478,SD181377,82,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_83,711440,ND170307,83,2,,1,,,,,,1,,,,,,,,
SpringOatPeaIntercrop_2024_IL_84,711558,ND170307,84,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_85,711370,EXCEL,85,2,,1,,,,,,,,,1,,,,,
SpringOatPeaIntercrop_2024_IL_86,711435,EXCEL,86,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_87,711417,LEGGETT,87,2,,1,,,,,1,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_88,711389,LEGGETT,88,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_89,711524,IL15-5752,89,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_90,711559,IL15-5752,90,2,,1,,,,,,,1,,,,,,,
SpringOatPeaIntercrop_2024_IL_91,711402,IL17-7334,91,2,,1,,,,,,,,,,,1,,,
SpringOatPeaIntercrop_2024_IL_92,711387,IL17-7334,92,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_93,711556,HORSEPOWER,93,2,,1,,,,,,,,,,1,,,,
SpringOatPeaIntercrop_2024_IL_94,711451,HORSEPOWER,94,2,,1,,,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_IL_95,711484,WI_X10642-3,95,2,,1,,,,,,,,,,,1,,,
