studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,germplasmEntryNumber,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Above ground dry biomass - g|day 154|COMP:0000067,Above ground dry biomass - g|day 178|COMP:0000068,Above ground dry biomass - g|day 199|COMP:0000069,Above ground dry biomass - g|day 217|COMP:0000070,Grain weight - g|CO_350:0005123,Grain yield - g/m2|CO_350:0000260,Lodging severity - 0-9 Rating|CO_350:0005007,Pea above ground dry biomass - g|day 154|COMP:0000083,Pea above ground dry biomass - g|day 178|COMP:0000084,Pea above ground dry biomass - g|day 199|COMP:0000085,Pea above ground dry biomass - g|day 217|COMP:0000086,Pea grain weight - g|COMP:0000009,Pea grain yield - g/m2|COMP:0000049,Pea plant establishment - plants/ft2|COMP:0000052,Pea plant height - cm|day 151|COMP:0000087,Pea plant height - cm|day 176|COMP:0000088,Pea plant height - cm|day 196|COMP:0000089,Pea plant height - cm|day 214|COMP:0000090,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|day 151|COMP:0000075,Plant height - cm|day 176|COMP:0000076,Plant height - cm|day 196|COMP:0000077,Plant height - cm|day 214|COMP:0000078,Weed above ground dry biomass - g|day 154|COMP:0000079,Weed above ground dry biomass - g|day 178|COMP:0000080,Weed above ground dry biomass - g|day 199|COMP:0000081,Weed above ground dry biomass - g|day 217|COMP:0000082,notes,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_0,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_100,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_50,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_oat_density_75,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_0,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_100,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_50,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_density_75,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_AUSTRIAN FIELD PEAS,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_DS Admiral,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_Icicle Winter Peas,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_ND Victory,Cornell_OatPeaDensity_2024_Ithaca_Cornell_OatPeaDensity_2024_Ithaca_pea_genotype_Organic 4010
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",510804,SD181245,SD181245,,plot,717333,Cornell_OatPeaDensity_2024_Ithaca_1,1,1,1,1,1,check,,,,,,128,37,3,,,,,4,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,plot,717323,Cornell_OatPeaDensity_2024_Ithaca_10,1,1,10,2,1,test,,,,,,28,10,0,,,,,0,0,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717354,Cornell_OatPeaDensity_2024_Ithaca_10_subplot_1,1,1,10,2,1,test,,,,329.2,,,,,,,0,,,,0,0,0,0,0,16,16,77,94,99,,,151.4,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717355,Cornell_OatPeaDensity_2024_Ithaca_10_subplot_2,1,1,10,2,1,test,,,,,,,,,,,,,,,0,0,0,0,0,18,18,79,87,114,,,,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",202123,IL17-7339,17-7339,,subplot,717356,Cornell_OatPeaDensity_2024_Ithaca_10_subplot_3,1,1,10,2,1,test,,25.8,,,,,,,0,,,,,,0,0,0,0,0,8,8,80,77,83,14.9,,,,,,,1,,1,,,,,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,plot,717308,Cornell_OatPeaDensity_2024_Ithaca_11,1,1,11,3,1,test,,,,,,174,55,4,,,,,23,7,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717465,Cornell_OatPeaDensity_2024_Ithaca_11_subplot_1,1,1,11,3,1,test,,42.5,,,,,,,2.5,,,,,,5,5,67,73,95,29,29,75,99,101,10.8,,,,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717466,Cornell_OatPeaDensity_2024_Ithaca_11_subplot_2,1,1,11,3,1,test,,,,,,,,,,,,,,,5,5,74,83,97,12,12,82,105,104,,,,,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,subplot,717467,Cornell_OatPeaDensity_2024_Ithaca_11_subplot_3,1,1,11,3,1,test,,,,,248.6,,,,,,,11,,,3,3,71,87,91,7,7,71,103,103,,,,132.3,,,1,,,,,1,,1,,,,
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6722,Cornell_OatPeaDensity_2024_Ithaca,Cornell oat pea intercroping with density treatments,CRD,,,,,,2024-May-03,,171,"Ithaca, NY - Snyder",531129,OT7100,,,plot,717316,Cornell_OatPeaDensity_2024_Ithaca_12,1,1,12,3,2,test,,,,,,160,45,4,,,,,12,3,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,
