stock_uniquename	HORSEPOWER	REINS	NATTY	SPURS	HAYDEN	CORRAL	NEWBURG	OGLE	SABER	ESKER	COLT	BAKER	DEON	BUCKSKIN	GOLIATH	WARRIOR	GOPHER	LEGGETT	EXCEL	IL15-5752	IL17-1253	IL17-1704	IL17-5238	IL17-7334	IL17-7339	RUSHMORE	ND161488	A11	A25	A10	SD181237	SD170935	SD181245	SD180580	SD181377	ND170307	SADDLE	OT2130	MN18038X_008	ND170376	MN18015X_004	WI_X10642-3	WI_X10680-3	WI_X10710-7	OT3120	SD190850	SD190992	SD191467
HORSEPOWER	1.74217272880764	-0.17426758325569	0.383095201214478	-0.157581957294905	0.429131960714366	-0.0898754398940413	0	-0.229063968583931	-0.173908781132138	-0.155317633063817	-0.0265097309742225	-0.119719339443179	-0.134619966817392	-0.126297851521045	0.346269887658744	0.000909397725825319	0.0753851069996189	0	-0.0951988189769979	-0.0988511043802963	-0.103873706003459	-0.180651710022669	-0.180282030173301	-0.0709545249798739	-0.074329587698083	0.190710047452968	-0.0118783375697107	-0.261520620567377	-0.268533691293388	0.0046902506042662	0.0237915504147493	0.109726708368607	0.187554761531943	0.194379355575527	0.0203893903585003	0.118154506119206	-0.242153264161638	0.105071086062456	-0.205476666761345	-0.123839917496202	-0.266145680031008	0.124993417535395	-0.300423223784349	-0.382755053785698	0.159781782296967	-0.0450337276499759	0.127297341149338	-0.0444405632748594
REINS	-0.17426758325569	1.82350679100963	-0.18475013488688	-0.156520309949345	0.0165395096505819	0.0874903311382514	0	-0.0674866265385097	-0.183372753111159	-0.0542626021347349	-0.159649730017076	0.0839604799005634	-0.147238883547092	0.566823266415729	-0.165000244572993	0.000131802736283965	-0.261633139332808	0	0.00585621195208128	0.0727283170701741	0.102437518171433	-0.0182822054812053	-0.16869476350316	0.00378645763775133	0.0056742045818342	-0.154781580416612	0.197856453932368	0.0610666107739552	0.0606320521258053	-0.0784530566468232	-0.00856290254853837	0.10368630371677	-0.193460831558098	-0.0498031862949572	-0.129062577590753	-0.15307861943459	-0.161357309385677	-0.197738897465079	-0.0670877736001874	-0.0788658958407003	0.0485473368168871	-0.00940665679884293	-0.171244247532198	0.00298589350312099	-0.16407943987973	0.0291837150481203	-0.0576785920203801	0.142927287162484
NATTY	0.383095201214478	-0.18475013488688	1.76199440042801	-0.18698534516856	0.326550239993089	-0.216640806520074	0	-0.44792850430005	-0.253308860797554	-0.213666474080072	0.199333149773216	-0.246484706069212	0.144352012977398	-0.155701239394701	0.502881542805278	-0.0793053819307143	0.132396799382977	0	-0.00882039428026074	-0.18038158645241	-0.159591142188568	-0.224026822043177	-0.314941611292769	-0.174037248125598	-0.172149501181515	0.0986539460562718	-0.107881546213127	-0.187892093972528	-0.286078469125814	-0.108918091866039	0.352760222001304	0.153187955775895	0.575730041819266	0.197053828100063	-0.0874551400250658	-0.0695544507939539	-0.164483753949464	-0.0023800235007688	-0.332224745086301	-0.0502113909013519	-0.334613014318007	-0.0815057190609025	-0.149168254670713	-0.339777520501782	0.118115793512376	0.583915094687143	-0.0121240472079755	0.00296779137914469
SPURS	-0.157581957294905	-0.156520309949345	-0.18698534516856	1.21947504317892	-0.253088156297437	0.132363236383357	0	0.513723259705753	0.765221730712236	0.32655568543	-0.167975733827481	-0.0896379888813888	0.0743262779386457	0.0536723665379093	-0.30810369758492	0.0915851978605692	-0.256227271580242	0	0.117360335836909	0.0846721705933883	0.208172793003367	-0.00738018805554024	0.558962922382151	0.0557803491874483	0.0576680961315312	-0.142577565808871	-0.20394448384672	-0.152792927704535	-0.115526319279454	-0.0549350136852467	-0.179161794999235	-0.330538237114198	-0.291657716498511	-0.234304905955425	0.126740998213564	-0.269912952887161	0.350958898614722	-0.273323704143401	0.000844063550272018	-0.215848604020521	0.317403580410589	-0.22912863350419	0.0528275099929737	0.0582144973213756	-0.236909767886718	-0.197850826242431	-0.170510163639225	-0.284104747130022
HAYDEN	0.429131960714366	0.0165395096505819	0.326550239993089	-0.253088156297437	1.7185505706238	-0.185381638896574	0	-0.356147025560209	-0.277309194628108	-0.206089949936882	0.0306055502296705	-0.22311975293915	-0.193796332869929	-0.16391314423838	0.284462116775063	-0.042478539339835	0.117355299000725	0	-0.0907116343960084	-0.222496888795892	-0.180960071187975	-0.308244601684982	-0.265262609851253	-0.203300391618443	-0.201412644674361	0.113113847582415	-0.0368464408173553	-0.24586447687772	-0.225247796876706	-0.096078758060556	-0.0656459711959534	1.09916516752748	0.154692443790864	0.760161636920003	0.408551845600668	0.032501563809762	-0.203967651461797	0.132568551492264	-0.197714737565125	-0.116077988299982	-0.341273003015866	-0.0119719189813807	-0.263715841445534	-0.384203041498487	0.0886015665588284	-0.0384249729238773	-0.127918684823523	0.0161119904897145
CORRAL	-0.0898754398940413	0.0874903311382514	-0.216640806520074	0.132363236383357	-0.185381638896574	1.37667610998253	0	0.294975047188139	-0.000858686683601774	0.044653756964896	-0.0604297472830782	0.296836909764415	-0.0579539718275338	0.32962826227561	-0.145666606262825	0.0435099026910398	-0.350989879995071	0	-0.0171829220840573	0.00765142228126011	0.557808024013136	-0.0528240783939258	0.0297089397893909	0.310685006275987	0.307309943557778	-0.185390051316111	0.0716430152146222	-0.115985294562097	-0.0497732329944195	-0.0315939817374949	-0.153557754896696	-0.2549375052199	-0.202899960448485	-0.187649627203725	-0.121321064123009	-0.15679457964151	-0.160243646836381	-0.256620003910914	0.0587029353418739	-0.126412874255176	0.159487256048276	-0.100221831271666	-0.215607817277443	-0.0286538966000145	-0.147474038121375	-0.143301332997296	-0.0817524075892008	-0.21113542006687
NEWBURG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OGLE	-0.229063968583931	-0.0674866265385097	-0.44792850430005	0.513723259705753	-0.356147025560209	0.294975047188139	0	1.40260280390664	0.554174055494386	0.72073112137557	-0.236927548163485	0.278223398752728	0.10283765023314	0.205758558018112	-0.392742733029672	0.0043147575846703	-0.446533285187887	0	-0.0147451944465802	0.00529594481092354	0.197111884952558	-0.0578109606954074	0.547902014331344	0.286808685602008	0.28869643254609	-0.1851141239553	-0.164907492227644	-0.243105557728659	0.0099362468503373	-0.0817843507229249	-0.31906033189804	-0.396757438740937	-0.360508322956393	-0.31368113173789	-0.0815740642950185	-0.120767743277062	0.353156222597763	-0.300482618220038	0.0684157233948679	-0.298267019551209	0.150780210283252	-0.151031354335015	0.120399169837568	0.267882018047817	-0.287751325443661	-0.300909695505204	-0.236729365265963	-0.281907423146983
SABER	-0.173908781132138	-0.183372753111159	-0.253308860797554	0.765221730712236	-0.277309194628108	-0.000858686683601774	0	0.554174055494386	1.17406920286121	0.256487478310527	-0.185415844324045	0.0192293325170216	0.0579994541014133	-0.0058702212569807	-0.387584237369639	0.0278930870627199	-0.291777638855865	0	0.115708654327218	0.136761872365933	0.227572350142835	0.171016945611977	0.873079820609895	0.122545193287533	0.124432940231616	-0.190481247619849	-0.238691141501971	-0.28833667856368	-0.106342804425607	-0.125003220804718	-0.26653654927739	-0.352127870613724	-0.326404374153761	-0.258525944286096	0.249878630427032	-0.268623652526751	0.658294869008361	-0.282560023107572	-0.155750925958035	-0.235610542309273	0.381846596718488	-0.225207928312635	0.0435911910288034	0.0252955348768975	-0.338245255940973	-0.135235505145307	-0.163154343996152	-0.268854712993514
ESKER	-0.155317633063817	-0.0542626021347349	-0.213666474080072	0.32655568543	-0.206089949936882	0.044653756964896	0	0.72073112137557	0.256487478310527	1.48086928631212	-0.171480258649291	0.0805302051523908	0.166058366428672	0.0606934610406806	-0.200583180108018	0.067535473780203	-0.337203450401358	0	-0.112445004463396	-0.136732915822877	-0.0111069279723598	-0.0787951990965245	0.213375769511451	0.0312245857164736	0.0331123326605561	-0.187678528538402	-0.0543214890714945	-0.0364137441897567	-0.00440994542696166	0.120495990010824	-0.126900778976387	-0.246700363117609	-0.20781984250192	-0.242566201048923	-0.113083922020716	-0.177216412852688	0.247967029599995	-0.193784188264656	0.0198612683126788	-0.0836809915188676	-0.000399033213603526	-0.139823681918749	0.287619910909294	0.179856490498448	-0.194209919644006	-0.274528646945706	-0.184034268395013	-0.192372658639997
