"State","PlotNo","oatAcc","peaAcc.x","IsCheck","Site","Block","pair","oatName","peaName","plot_size_sq_ft_planted.x","oat_g_plot.x","pea_grams_per_plot.x","loc_pea","peaAcc.y","location","planted_plot_size_sqft","pea_grams_per_plot.y","oat_g_plot.y","plot_size_sq_ft_planted.y","grams/sqft"
"AL",1,21,"7",0,3,1,1,"SABER","NDP150412G",43.75,36.75,"54.655263157894701","AL_7",7,"AL",43.75,54.6552631578947,36.75,43.75,0.84
"AL",2,21,"na",0,3,1,1,"SABER","na",43.75,36.75,"NA","AL_na",NA,NA,NA,NA,36.75,43.75,0.84
"AL",3,2,"4",0,3,1,2,"BUCKSKIN","Icicle Winter Peas",43.75,36.75,"43.725000000000001","AL_4",4,"AL",43.75,43.725,36.75,43.75,0.84
"AL",4,2,"na",0,3,1,2,"BUCKSKIN","na",43.75,36.75,"NA","AL_na",NA,NA,NA,NA,36.75,43.75,0.84
"AL",5,45,"2",0,3,1,3,"SD191467","delta field pea",43.75,36.75,"55.830645161290299","AL_2",2,"AL",43.75,55.8306451612903,36.75,43.75,0.84
"AL",6,45,"na",0,3,1,3,"SD191467","na",43.75,36.75,"NA","AL_na",NA,NA,NA,NA,36.75,43.75,0.84
"AL",7,35,"na",0,3,1,4,"ND170376","na",43.75,36.75,"NA","AL_na",NA,NA,NA,NA,36.75,43.75,0.84
"AL",8,35,"10",0,3,1,4,"ND170376","ND Dawn",43.75,36.75,"70.987903225806406","AL_10",10,"AL",43.75,70.9879032258064,36.75,43.75,0.84
"AL",9,6,"12",0,3,1,5,"ESKER","Maxum",43.75,36.75,"55.602272727272698","AL_12",12,"AL",43.75,55.6022727272727,36.75,43.75,0.84
"AL",10,6,"na",0,3,1,5,"ESKER","na",43.75,36.75,"NA","AL_na",NA,NA,NA,NA,36.75,43.75,0.84
"AL",11,30,"7",0,3,1,6,"IL17-1704","NDP150412G",43.75,36.75,"54.655263157894701","AL_7",7,"AL",43.75,54.6552631578947,36.75,43.75,0.84
