"","rowname","PrEff","AsEff","SI_1","SI_2"
"1","SABER",32.0333156213896,1.35219265745223,33.3855082788418,30.6811229639374
"2","IL15-5752",32.0717195805631,-1.30397291558527,30.7677466649779,33.3756924961484
"3","ESKER",27.1256302755325,0.887726200634064,28.0133564761666,26.2379040748984
"4","LEGGETT",17.0309633606294,5.66788743942547,22.6988508000549,11.363075921204
"5","MN18015X_004",21.0311898235839,0.192978799704801,21.2241686232887,20.8382110238791
"6","SD191467",22.6110799497006,-1.49890281854037,21.1121771311603,24.109982768241
"7","EXCEL",27.1628248167374,-6.5518090374393,20.6110157792981,33.7146338541767
"8","A11",23.243925758438,-2.82132239175193,20.422603366686,26.0652481501899
"9","ND161488",14.2339258570388,4.60095016299753,18.8348760200363,9.63297569404122
"10","IL17-733X",27.6372273669406,-8.97784929043093,18.6593780765097,36.6150766573716
"11","WI_X10642-3",22.491805205708,-4.854172277078,17.63763292863,27.345977482786
"12","A25",15.5482375986674,0.751754535386393,16.2999921340538,14.796483063281
"13","ND170307",19.4826734150794,-3.62884466482159,15.8538287502578,23.1115180799009
"14","WARRIOR",22.6049813771454,-7.03929686288645,15.5656845142589,29.6442782400318
"15","ND170376",15.8049577692197,-2.45895112421771,13.346006645002,18.2639088934374
"16","HAYDEN",10.6769742027818,1.24482684149111,11.9218010442729,9.43214736129068
"17","BAKER",2.36456742026078,4.87069967688071,7.2352670971415,-2.50613225661993
"18","SD190850",0.692653236950761,5.06832972306081,5.76098296001157,-4.37567648611005
"19","BUCKSKIN",2.21275493214468,-0.291575783248592,1.92117914889608,2.50433071539327
"20","OT2130",0.863743759314148,0.993481773009239,1.85722553232339,-0.129738013695091
"21","GOLIATH",1.76478534530649,-1.51560058693472,0.249184758371764,3.28038593224121
"22","WI_X10680-3",-3.15051008160834,2.28743468029361,-0.863075401314727,-5.43794476190195
"23","SD181237",1.34070943094673,-2.72472595167773,-1.38401652073099,4.06543538262446
"24","SD180580",-2.5901169511156,1.02825961639287,-1.56185733472273,-3.61837656750846
"25","CORRAL",-2.05779940728484,-1.63359626563629,-3.69139567292113,-0.424203141648544
"26","A10",-0.0817356808493286,-5.09680028285522,-5.17853596370455,5.01506460200589
"27","SD181377",-12.285720801298,2.91634347672086,-9.36937732457718,-15.2020642780189
"28","REINS",-10.3526550120347,0.819775212517024,-9.53287979951767,-11.1724302245517
"29","GOPHER",-15.6032895198939,6.03112818924084,-9.57216133065303,-21.6344177091347
"30","IL17-5238",-10.4623907917387,0.0422763070440998,-10.4201144846946,-10.5046670987828
"31","SD190992",-9.44021732583257,-1.34968453603278,-10.7899018618654,-8.0905327897998
"32","DEON",-16.7195726013509,4.79022364923077,-11.9293489521202,-21.5097962505817
"33","OGLE",-15.1379984459607,3.03125912255898,-12.1067393234017,-18.1692575685197
"34","NEWBURG",-13.6672442667383,0.698653519816432,-12.9685907469219,-14.3658977865547
"35","IL17-1253",-12.8026832884715,-0.783694005962617,-13.5863772944341,-12.0189892825089
"36","RUSHMORE",-4.94161625004898,-9.11673482527093,-14.0583510753199,4.17511857522195
"37","OT3120",-20.1883790362245,5.82286231040677,-14.3655167258177,-26.0112413466313
"38","MN18038X_008",-22.8710300262988,7.84601994222726,-15.0250100840715,-30.7170499685261
"39","COLT",-19.943318143405,3.86981228880505,-16.0735058546,-23.8131304322101
"40","IL17-1704",-13.5800381777764,-2.64037716509258,-16.220415342869,-10.9396610126838
"41","SADDLE",-13.6965078791401,-3.62637085238639,-17.3228787315265,-10.0701370267537
"42","HORSEPOWER",-26.0285083254876,7.74100996991955,-18.2874983555681,-33.7695182954072
"43","WI_X10710-7",-24.36458417868,4.35354143898116,-20.0110427396988,-28.7181256176611
"44","NATTY",-19.4468488851331,-0.74512487371999,-20.1919737588531,-18.7017240114131
"45","SD170935",-28.4529410248463,1.74610044217808,-26.7068405826683,-30.1990414670244
"46","SPURS",-25.6339071636707,-5.14106405941793,-30.7749712230887,-20.4928431042528
"47","SD181245",-23.0395607360352,-12.4028310571763,-35.4423917932115,-10.636729678859
