biomass_sample_id,subplot_id,plot_number,subplot_number,crop,unique_id,geo_coordinates,t4_weight_g
plot_3_subplot_1_oat,714187,3,1,oat,3o,,46.7
plot_3_subplot_1_pea,714187,3,1,pea,3p,,27.8
plot_3_subplot_1_weed,714187,3,1,weed,3w,,362.8
plot_4_subplot_1_oat,713812,4,1,oat,4o,,214.4
plot_4_subplot_1_pea,713812,4,1,pea,4p,,0
plot_4_subplot_1_weed,713812,4,1,weed,4w,,285.8
plot_7_subplot_3_oat,714582,7,3,oat,7o,,368
plot_7_subplot_3_pea,714582,7,3,pea,7p,,0
plot_7_subplot_3_weed,714582,7,3,weed,7w,,200.5
plot_8_subplot_3_oat,714418,8,3,oat,8o,,300
plot_8_subplot_3_pea,714418,8,3,pea,8p,,10.7
plot_8_subplot_3_weed,714418,8,3,weed,8w,,200.6
plot_9_subplot_1_oat,714329,9,1,oat,9o,,203.6
plot_9_subplot_1_pea,714329,9,1,pea,9p,,0
plot_9_subplot_1_weed,714329,9,1,weed,9w,,318.9
plot_10_subplot_1_oat,714047,10,1,oat,10o,,269.9
plot_10_subplot_1_pea,714047,10,1,pea,10p,,0
plot_10_subplot_1_weed,714047,10,1,weed,10w,,179.9
plot_11_subplot_1_oat,714068,11,1,oat,11o,,397.3
plot_11_subplot_1_pea,714068,11,1,pea,11p,,0
plot_11_subplot_1_weed,714068,11,1,weed,11w,,197.7
plot_12_subplot_1_oat,713672,12,1,oat,12o,,206.4
plot_12_subplot_1_pea,713672,12,1,pea,12p,,56.4
plot_12_subplot_1_weed,713672,12,1,weed,12w,,270.2
plot_17_subplot_3_oat,714345,17,3,oat,17o,,
plot_17_subplot_3_pea,714345,17,3,pea,17p,,39.8
plot_17_subplot_3_weed,714345,17,3,weed,17w,,161.8
plot_18_subplot_3_oat,713696,18,3,oat,18o,,155.8
plot_18_subplot_3_pea,713696,18,3,pea,18p,,0
plot_18_subplot_3_weed,713696,18,3,weed,18w,,150.5
plot_19_subplot_3_oat,714179,19,3,oat,19o,,70.3
plot_19_subplot_3_pea,714179,19,3,pea,19p,,9.5
plot_19_subplot_3_weed,714179,19,3,weed,19w,,351.8
plot_20_subplot_3_oat,713935,20,3,oat,20o,,158.6
plot_20_subplot_3_pea,713935,20,3,pea,20p,,0
plot_20_subplot_3_weed,713935,20,3,weed,20w,,128.3
plot_27_subplot_1_oat,713679,27,1,oat,27o,,302.6
plot_27_subplot_1_pea,713679,27,1,pea,27p,,0
plot_27_subplot_1_weed,713679,27,1,weed,27w,,175.8
plot_28_subplot_1_oat,714372,28,1,oat,28o,,296.3
plot_28_subplot_1_pea,714372,28,1,pea,28p,,34.9
plot_28_subplot_1_weed,714372,28,1,weed,28w,,158
plot_35_subplot_3_oat,714022,35,3,oat,35o,,280.9
plot_35_subplot_3_pea,714022,35,3,pea,35p,,0
plot_35_subplot_3_weed,714022,35,3,weed,35w,,180.6
plot_36_subplot_3_oat,714100,36,3,oat,36o,,182.2
plot_36_subplot_3_pea,714100,36,3,pea,36p,,13.6
