studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,germplasmEntryNumber,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Biomass_Time,Biomass_1_oat_g,Biomass_2_oat_g,Biomass_3_oat_g,Biomass_4_oat_g,Grain weight - g|CO_350:0005123,oat_grain_yield,Lodging,Biomass_1_pea_g,Biomass_2_pea_g,Biomass_3_pea_g,Biomass_4_pea_g,Pea grain weight - g|COMP:0000009,pea_grain_yield,Pea plant establishment - plants/ft2|COMP:0000052,Pea plant height - cm|day 151|COMP:0000087,Pea plant height - cm|day 176|COMP:0000088,Pea plant height - cm|day 196|COMP:0000089,Pea plant height - cm|day 214|COMP:0000090,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|day 151|COMP:0000075,Plant height - cm|day 176|COMP:0000076,Plant height - cm|day 196|COMP:0000077,Plant height - cm|day 214|COMP:0000078,Biomass_1_weed_g,Biomass_2_weed_g,Biomass_3_weed_g,Biomass_4_weed_g,notes,AUSTRIAN FIELD PEAS,DS Admiral,Frostmaster Peas,Icicle Winter Peas,Maxum,ND Dawn,ND Victory,NDP140510Y,NDP150231Y,NDP150412G,Organic 4010,delta field pea,peaName,pea_type
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,plot,711296,SpringOatPeaIntercrop_2024_NY_1,1,1,1,1,1,test,NA,,33,NA,175.2,NA,88,38,3,0,NA,0,NA,1,NA,0,0,0,0,0,23.33333333,24.33333333,93.66666667,106.6666667,109.6666667,6,NA,322.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,subplot,714086,SpringOatPeaIntercrop_2024_NY_1_subplot_1,1,1,1,1,1,test,NA,3,NA,NA,175.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,24,24,96,109,113,NA,NA,322.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,subplot,714087,SpringOatPeaIntercrop_2024_NY_1_subplot_2,1,1,1,1,1,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,11,28,94,106,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,subplot,714088,SpringOatPeaIntercrop_2024_NY_1_subplot_3,1,1,1,1,1,test,NA,1,33,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,35,21,91,105,103,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoculture
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,plot,711288,SpringOatPeaIntercrop_2024_NY_2,1,1,2,1,2,test,NA,,34.5,NA,182.7,NA,236,83,4,6,NA,11,NA,47,16,5,14.33333333,71,66.33333333,66.33333333,28,26.66666667,94,105.6666667,108.3333333,15.1,NA,294.1,NA,NA,NA,DS Admiral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS Admiral,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,subplot,714002,SpringOatPeaIntercrop_2024_NY_2_subplot_1,1,1,2,1,2,test,NA,3,NA,NA,182.7,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,6,16,69,60,68,32,30,98,111,113,NA,NA,294.1,NA,NA,NA,DS Admiral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS Admiral,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,subplot,714004,SpringOatPeaIntercrop_2024_NY_2_subplot_2,1,1,2,1,2,test,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,78,70,68,28,26,94,101,102,NA,NA,NA,NA,NA,NA,DS Admiral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS Admiral,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",108381,EXCEL,Excel,NA,subplot,714006,SpringOatPeaIntercrop_2024_NY_2_subplot_3,1,1,2,1,2,test,NA,1,34.5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,12,66,69,63,24,24,90,105,110,15.1,NA,NA,NA,NA,NA,DS Admiral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS Admiral,field
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,plot,711271,SpringOatPeaIntercrop_2024_NY_3,1,1,3,1,3,test,NA,,NA,246.1,NA,46.7,78,41,5,NA,57.4,NA,27.8,6,3,4,17,85.33333333,97.33333333,82.33333333,22.33333333,21,88.66666667,101.3333333,102,NA,47.7,NA,362.8,NA,NA,NA,NA,NA,Maxum,NA,NA,NA,NA,NA,NA,NA,Maxum,forage
2024,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6669,SpringOatPeaIntercrop_2024_NY,Oat breeding programs collaborating on oat intercropping trials,Augmented,1.26,NA,NA,NA,NA,2024-May-03,2024-August-12,82,"Ithaca, NY",202026,IL17-1704,NA,NA,subplot,714187,SpringOatPeaIntercrop_2024_NY_3_subplot_1,1,1,3,1,3,test,NA,4,NA,NA,NA,46.7,NA,NA,NA,NA,NA,NA,27.8,NA,NA,0,15,85,106,95,13,13,95,117,108,NA,NA,NA,362.8,NA,NA,NA,NA,NA,Maxum,NA,NA,NA,NA,NA,NA,NA,Maxum,forage
