"","studyName","studyYear","studyLoc","germplasmName","peaName","pea_type","observationLevel","observationUnitName","plotNumber","blockNumber","Biomass_1_oat_g","Biomass_2_oat_g","Biomass_3_oat_g","Biomass_4_oat_g","oat_yield","Lodging","Biomass_1_pea_g","Biomass_2_pea_g","Biomass_3_pea_g","Biomass_4_pea_g","pea_yield","oat_fraction","location"
"1","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SABER","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_1",1,1,NA,38.3,NA,43.5,99.29453263,9,NA,61.3,NA,268.4,163.8007055,0.377409083249682,"NY"
"2","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","ND170376","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_2",2,1,NA,11.4,55.9,NA,25.79365079,7,NA,58.9,81.2,NA,64.7707231,0.284810126566205,"NY"
"3","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","NATTY","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_3",3,1,17.3,NA,21.5,NA,4.938271605,9,15.6,NA,262.8,NA,100.308642,0.0469208211039207,"NY"
"4","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","WI_X10680-3","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_4",4,1,NA,42.5,55.8,NA,87.25749559,0,NA,77.5,72.3,NA,172.5308642,0.335879158175272,"NY"
"5","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","ND170307","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_5",5,1,20,NA,35.6,NA,50.48500882,0,16.7,NA,212.5,NA,131.3492063,0.27764306506717,"NY"
"6","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","ESKER","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_6",6,1,15.4,NA,NA,45.9,56.39329806,0,17.2,NA,NA,71.6,101.5873016,0.356963438430843,"NY"
"7","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD180580","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_7",7,1,NA,34,59.5,NA,54.71781305,0,NA,62.4,126.8,NA,116.622575,0.319351518183981,"NY"
"8","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-1253","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_8",8,1,25.2,NA,62.2,NA,81.74603175,0,34,NA,85.1,NA,125,0.395393474099897,"NY"
"9","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","CORRAL","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_9",9,1,9.5,NA,45.6,NA,0.3086419753,9,14.9,NA,134,NA,115.1234568,0.00267379679114041,"NY"
"10","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","A25","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_10",10,1,NA,50.3,98.7,NA,36.15520282,0,NA,24.4,128.3,NA,88.22751323,0.290677064854141,"NY"
"11","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","EXCEL","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_11",11,1,NA,40,NA,100,37.91887125,0,NA,52.9,NA,207.8,219.8853616,0.147083974653211,"NY"
"12","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD181237","ND Dawn","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_12",12,1,NA,35.2,57.9,NA,108.377425,0,NA,74.8,120.6,NA,108.8183422,0.49898497745678,"NY"
"13","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-5238","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_13",13,1,18.4,NA,84.6,NA,51.58730159,7,15.3,NA,147.2,NA,104.6296296,0.330228619887921,"NY"
"14","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-1704","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_14",14,1,NA,24,46.1,NA,66.57848325,0,NA,83,117.1,NA,162.8747795,0.290161414364111,"NY"
"15","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","A11","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_15",15,1,13,NA,NA,43,43.51851852,0,12.6,NA,NA,110.7,150.3968254,0.224420190998159,"NY"
"16","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","WARRIOR","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_16",16,1,NA,51.1,54.3,NA,25.92592593,0,NA,61.4,150.9,NA,169.2680776,0.132821323714565,"NY"
"17","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","ND161488","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_17",17,1,NA,26.8,NA,36.5,0.5731922399,9,NA,103.4,NA,321.4,142.372134,0.00400987045171405,"NY"
"18","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","A10","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_18",18,1,20.8,NA,NA,64.2,31.34920635,0,10.6,NA,NA,114.9,147.0017637,0.175772558687017,"NY"
"19","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","OT3120","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_19",19,1,17.5,NA,NA,75.2,71.78130511,0,33.8,NA,NA,79.9,127.2486772,0.360655737778224,"NY"
"20","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","LEGGETT","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_20",20,1,18.6,NA,NA,97.7,88.49206349,0,3.8,NA,NA,90.5,122.5749559,0.41926049719065,"NY"
"21","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","HORSEPOWER","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_21",21,1,10.6,NA,87.4,NA,60.14109347,0,10,NA,142.3,NA,119.7530864,0.334313725510524,"NY"
"22","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","RUSHMORE","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_22",22,1,23.4,NA,56.6,NA,11.33156966,9,26.1,NA,114.1,NA,169.664903,0.0626065773186986,"NY"
"23","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","BAKER","Organic 4010","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_23",23,1,NA,74.9,NA,23,53.17460317,9,NA,58.6,NA,33,132.8042328,0.285917496432645,"NY"
"24","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","MN18015X_004","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_24",24,1,NA,78.9,NA,62.4,105.4232804,6,NA,8.3,NA,91.6,166.0493827,0.388338476501283,"NY"
"25","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","REINS","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_25",25,1,NA,70.2,44.6,NA,103.5714286,0,NA,48.3,111.8,NA,159.5238095,0.393665158472513,"NY"
"26","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","A11","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_26",26,2,NA,47,92.3,NA,44.04761905,0,NA,62.3,77,NA,209.5679012,0.173678720476493,"NY"
"27","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD190992","delta field pea","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_28",28,2,NA,79.2,148.4,NA,114.4620811,0,NA,72.5,99.7,NA,108.1569665,0.514161219958431,"NY"
"28","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-7339","NDP150231Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_29",29,2,24.8,NA,NA,118.9,43.69488536,3,24.8,NA,NA,49.7,140.7848325,0.236854684443737,"NY"
"29","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","GOLIATH","Frostmaster Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_30",30,2,NA,41.8,NA,24.9,14.68253968,9,NA,64.7,NA,192.6,116.005291,0.11234817812495,"NY"
"30","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","OGLE","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_31",31,2,23.4,NA,37,NA,99.95590829,6,19.4,NA,135.2,NA,47.26631393,0.678945792168739,"NY"
"31","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","OT2130","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_32",32,2,35.4,NA,86.1,NA,98.63315697,0,32.3,NA,75.1,NA,131.8342152,0.427970154913057,"NY"
"32","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD180580","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_33",33,2,NA,24.2,73.2,NA,61.0670194,0,NA,68.2,190.4,NA,127.5132275,0.323825111080603,"NY"
"33","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","A25","ND Victory","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_34",34,2,53.7,NA,67.4,NA,38.35978836,2,36.9,NA,157.5,NA,182.9365079,0.173341303077803,"NY"
"34","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","GOPHER","NDP140510Y","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_35",35,2,NA,90.3,NA,54.1,82.76014109,0,NA,58.4,NA,131.1,136.5520282,0.37736228389846,"NY"
"35","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","RUSHMORE","NDP150412G","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_36",36,2,NA,50.1,NA,167.3,126.5873016,0,NA,55.4,NA,107.8,107.010582,0.541902604805962,"NY"
"36","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","DEON","Maxum","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_37",37,2,NA,33.8,27.3,NA,7.58377425,9,NA,53.8,181.8,NA,41.18165785,0.155515370692265,"NY"
"37","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL17-5238","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_38",38,2,59.6,NA,NA,56.6,5.511463845,9,17.1,NA,NA,123.3,112.8747795,0.0465549348410233,"NY"
"38","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD181245","Icicle Winter Peas","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_39",39,2,NA,69.7,NA,103.8,74.38271605,9,NA,28.1,NA,89,95.81128748,0.43704663212114,"NY"
"39","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","IL15-5752","AUSTRIAN FIELD PEAS","forage","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_40",40,2,NA,41.4,91.8,NA,38.97707231,8,NA,71.5,159.6,NA,125.8377425,0.236490101663088,"NY"
"40","Cornell_OatPeaIntercropPilot_2023_Ithaca",2023,"NY","SD181245","DS Admiral","field","plot","Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_41",41,2,33.9,NA,NA,52.6,144.7089947,0,35.4,NA,NA,165,129.7178131,0.527313624569298,"NY"
