plot_name	row_number	col_number
SpringOatPeaIntercrop_2024_AL_1	20	1
SpringOatPeaIntercrop_2024_AL_20	20	2
SpringOatPeaIntercrop_2024_AL_21	20	3
SpringOatPeaIntercrop_2024_AL_40	20	4
SpringOatPeaIntercrop_2024_AL_41	20	5
SpringOatPeaIntercrop_2024_AL_60	20	6
SpringOatPeaIntercrop_2024_AL_61	20	7
SpringOatPeaIntercrop_2024_AL_80	20	8
SpringOatPeaIntercrop_2024_AL_81	20	9
SpringOatPeaIntercrop_2024_AL_100	20	10
SpringOatPeaIntercrop_2024_AL_2	19	1
SpringOatPeaIntercrop_2024_AL_19	19	2
SpringOatPeaIntercrop_2024_AL_22	19	3
SpringOatPeaIntercrop_2024_AL_39	19	4
SpringOatPeaIntercrop_2024_AL_42	19	5
SpringOatPeaIntercrop_2024_AL_59	19	6
SpringOatPeaIntercrop_2024_AL_62	19	7
SpringOatPeaIntercrop_2024_AL_79	19	8
SpringOatPeaIntercrop_2024_AL_82	19	9
SpringOatPeaIntercrop_2024_AL_99	19	10
SpringOatPeaIntercrop_2024_AL_3	18	1
SpringOatPeaIntercrop_2024_AL_18	18	2
SpringOatPeaIntercrop_2024_AL_23	18	3
SpringOatPeaIntercrop_2024_AL_38	18	4
SpringOatPeaIntercrop_2024_AL_43	18	5
SpringOatPeaIntercrop_2024_AL_58	18	6
SpringOatPeaIntercrop_2024_AL_63	18	7
SpringOatPeaIntercrop_2024_AL_78	18	8
SpringOatPeaIntercrop_2024_AL_83	18	9
SpringOatPeaIntercrop_2024_AL_98	18	10
SpringOatPeaIntercrop_2024_AL_4	17	1
SpringOatPeaIntercrop_2024_AL_17	17	2
SpringOatPeaIntercrop_2024_AL_24	17	3
SpringOatPeaIntercrop_2024_AL_37	17	4
SpringOatPeaIntercrop_2024_AL_44	17	5
SpringOatPeaIntercrop_2024_AL_57	17	6
SpringOatPeaIntercrop_2024_AL_64	17	7
SpringOatPeaIntercrop_2024_AL_77	17	8
SpringOatPeaIntercrop_2024_AL_84	17	9
SpringOatPeaIntercrop_2024_AL_97	17	10
SpringOatPeaIntercrop_2024_AL_5	16	1
SpringOatPeaIntercrop_2024_AL_16	16	2
SpringOatPeaIntercrop_2024_AL_25	16	3
SpringOatPeaIntercrop_2024_AL_36	16	4
SpringOatPeaIntercrop_2024_AL_45	16	5
SpringOatPeaIntercrop_2024_AL_56	16	6
SpringOatPeaIntercrop_2024_AL_65	16	7
SpringOatPeaIntercrop_2024_AL_76	16	8
SpringOatPeaIntercrop_2024_AL_85	16	9
SpringOatPeaIntercrop_2024_AL_96	16	10
SpringOatPeaIntercrop_2024_AL_6	15	1
SpringOatPeaIntercrop_2024_AL_15	15	2
SpringOatPeaIntercrop_2024_AL_26	15	3
SpringOatPeaIntercrop_2024_AL_35	15	4
SpringOatPeaIntercrop_2024_AL_46	15	5
SpringOatPeaIntercrop_2024_AL_55	15	6
SpringOatPeaIntercrop_2024_AL_66	15	7
SpringOatPeaIntercrop_2024_AL_75	15	8
SpringOatPeaIntercrop_2024_AL_86	15	9
SpringOatPeaIntercrop_2024_AL_95	15	10
SpringOatPeaIntercrop_2024_AL_7	14	1
SpringOatPeaIntercrop_2024_AL_14	14	2
SpringOatPeaIntercrop_2024_AL_27	14	3
SpringOatPeaIntercrop_2024_AL_34	14	4
SpringOatPeaIntercrop_2024_AL_47	14	5
SpringOatPeaIntercrop_2024_AL_54	14	6
SpringOatPeaIntercrop_2024_AL_67	14	7
SpringOatPeaIntercrop_2024_AL_74	14	8
SpringOatPeaIntercrop_2024_AL_87	14	9
SpringOatPeaIntercrop_2024_AL_94	14	10
SpringOatPeaIntercrop_2024_AL_8	13	1
SpringOatPeaIntercrop_2024_AL_13	13	2
SpringOatPeaIntercrop_2024_AL_28	13	3
SpringOatPeaIntercrop_2024_AL_33	13	4
SpringOatPeaIntercrop_2024_AL_48	13	5
SpringOatPeaIntercrop_2024_AL_53	13	6
SpringOatPeaIntercrop_2024_AL_68	13	7
SpringOatPeaIntercrop_2024_AL_73	13	8
SpringOatPeaIntercrop_2024_AL_88	13	9
SpringOatPeaIntercrop_2024_AL_93	13	10
SpringOatPeaIntercrop_2024_AL_9	12	1
SpringOatPeaIntercrop_2024_AL_12	12	2
SpringOatPeaIntercrop_2024_AL_29	12	3
SpringOatPeaIntercrop_2024_AL_32	12	4
SpringOatPeaIntercrop_2024_AL_49	12	5
SpringOatPeaIntercrop_2024_AL_52	12	6
SpringOatPeaIntercrop_2024_AL_69	12	7
SpringOatPeaIntercrop_2024_AL_72	12	8
SpringOatPeaIntercrop_2024_AL_89	12	9
SpringOatPeaIntercrop_2024_AL_92	12	10
SpringOatPeaIntercrop_2024_AL_10	11	1
SpringOatPeaIntercrop_2024_AL_11	11	2
SpringOatPeaIntercrop_2024_AL_30	11	3
SpringOatPeaIntercrop_2024_AL_31	11	4
SpringOatPeaIntercrop_2024_AL_50	11	5
SpringOatPeaIntercrop_2024_AL_51	11	6
SpringOatPeaIntercrop_2024_AL_70	11	7
SpringOatPeaIntercrop_2024_AL_71	11	8
SpringOatPeaIntercrop_2024_AL_90	11	9
SpringOatPeaIntercrop_2024_AL_91	11	10
SpringOatPeaIntercrop_2024_AL_101	10	1
SpringOatPeaIntercrop_2024_AL_120	10	2
SpringOatPeaIntercrop_2024_AL_121	10	3
SpringOatPeaIntercrop_2024_AL_140	10	4
SpringOatPeaIntercrop_2024_AL_141	10	5
SpringOatPeaIntercrop_2024_AL_160	10	6
SpringOatPeaIntercrop_2024_AL_161	10	7
SpringOatPeaIntercrop_2024_AL_180	10	8
SpringOatPeaIntercrop_2024_AL_181	10	9
SpringOatPeaIntercrop_2024_AL_200	10	10
SpringOatPeaIntercrop_2024_AL_102	9	1
SpringOatPeaIntercrop_2024_AL_119	9	2
SpringOatPeaIntercrop_2024_AL_122	9	3
SpringOatPeaIntercrop_2024_AL_139	9	4
SpringOatPeaIntercrop_2024_AL_142	9	5
SpringOatPeaIntercrop_2024_AL_159	9	6
SpringOatPeaIntercrop_2024_AL_162	9	7
SpringOatPeaIntercrop_2024_AL_179	9	8
SpringOatPeaIntercrop_2024_AL_182	9	9
