plot_name	row_number	col_number
Cornell_OatPeaDensity_2024_Ithaca_52	10	1
Cornell_OatPeaDensity_2024_Ithaca_51	10	2
Cornell_OatPeaDensity_2024_Ithaca_50	10	3
Cornell_OatPeaDensity_2024_Ithaca_49	10	4
Cornell_OatPeaDensity_2024_Ithaca_48	10	5
Cornell_OatPeaDensity_2024_Ithaca_47	10	6
Cornell_OatPeaDensity_2024_Ithaca_41	9	1
Cornell_OatPeaDensity_2024_Ithaca_42	9	2
Cornell_OatPeaDensity_2024_Ithaca_43	9	3
Cornell_OatPeaDensity_2024_Ithaca_44	9	4
Cornell_OatPeaDensity_2024_Ithaca_45	9	5
Cornell_OatPeaDensity_2024_Ithaca_46	9	6
Cornell_OatPeaDensity_2024_Ithaca_40	8	1
Cornell_OatPeaDensity_2024_Ithaca_39	8	2
Cornell_OatPeaDensity_2024_Ithaca_38	8	3
Cornell_OatPeaDensity_2024_Ithaca_37	8	4
Cornell_OatPeaDensity_2024_Ithaca_36	8	5
Cornell_OatPeaDensity_2024_Ithaca_31	7	1
Cornell_OatPeaDensity_2024_Ithaca_32	7	2
Cornell_OatPeaDensity_2024_Ithaca_33	7	3
Cornell_OatPeaDensity_2024_Ithaca_34	7	4
Cornell_OatPeaDensity_2024_Ithaca_35	7	5
Cornell_OatPeaDensity_2024_Ithaca_30	6	1
Cornell_OatPeaDensity_2024_Ithaca_29	6	2
Cornell_OatPeaDensity_2024_Ithaca_28	6	3
Cornell_OatPeaDensity_2024_Ithaca_27	6	4
Cornell_OatPeaDensity_2024_Ithaca_26	6	5
Cornell_OatPeaDensity_2024_Ithaca_21	5	1
Cornell_OatPeaDensity_2024_Ithaca_22	5	2
Cornell_OatPeaDensity_2024_Ithaca_23	5	3
Cornell_OatPeaDensity_2024_Ithaca_24	5	4
Cornell_OatPeaDensity_2024_Ithaca_25	5	5
Cornell_OatPeaDensity_2024_Ithaca_20	4	1
Cornell_OatPeaDensity_2024_Ithaca_19	4	2
Cornell_OatPeaDensity_2024_Ithaca_18	4	3
Cornell_OatPeaDensity_2024_Ithaca_17	4	4
Cornell_OatPeaDensity_2024_Ithaca_16	4	5
Cornell_OatPeaDensity_2024_Ithaca_11	3	1
Cornell_OatPeaDensity_2024_Ithaca_12	3	2
Cornell_OatPeaDensity_2024_Ithaca_13	3	3
Cornell_OatPeaDensity_2024_Ithaca_14	3	4
Cornell_OatPeaDensity_2024_Ithaca_15	3	5
Cornell_OatPeaDensity_2024_Ithaca_10	2	1
Cornell_OatPeaDensity_2024_Ithaca_9	2	2
Cornell_OatPeaDensity_2024_Ithaca_8	2	3
Cornell_OatPeaDensity_2024_Ithaca_7	2	4
Cornell_OatPeaDensity_2024_Ithaca_6	2	5
Cornell_OatPeaDensity_2024_Ithaca_1	1	1
Cornell_OatPeaDensity_2024_Ithaca_2	1	2
Cornell_OatPeaDensity_2024_Ithaca_3	1	3
Cornell_OatPeaDensity_2024_Ithaca_4	1	4
Cornell_OatPeaDensity_2024_Ithaca_5	1	5
