plot_name	row_number	col_number
SpringOatPeaIntercrop_2024_NY_100	10	1
SpringOatPeaIntercrop_2024_NY_99	10	2
SpringOatPeaIntercrop_2024_NY_98	10	3
SpringOatPeaIntercrop_2024_NY_97	10	4
SpringOatPeaIntercrop_2024_NY_96	10	5
SpringOatPeaIntercrop_2024_NY_95	10	6
SpringOatPeaIntercrop_2024_NY_94	10	7
SpringOatPeaIntercrop_2024_NY_93	10	8
SpringOatPeaIntercrop_2024_NY_92	10	9
SpringOatPeaIntercrop_2024_NY_91	10	10
SpringOatPeaIntercrop_2024_NY_200	10	11
SpringOatPeaIntercrop_2024_NY_199	10	12
SpringOatPeaIntercrop_2024_NY_198	10	13
SpringOatPeaIntercrop_2024_NY_197	10	14
SpringOatPeaIntercrop_2024_NY_196	10	15
SpringOatPeaIntercrop_2024_NY_195	10	16
SpringOatPeaIntercrop_2024_NY_194	10	17
SpringOatPeaIntercrop_2024_NY_193	10	18
SpringOatPeaIntercrop_2024_NY_192	10	19
SpringOatPeaIntercrop_2024_NY_191	10	20
SpringOatPeaIntercrop_2024_NY_81	9	1
SpringOatPeaIntercrop_2024_NY_82	9	2
SpringOatPeaIntercrop_2024_NY_83	9	3
SpringOatPeaIntercrop_2024_NY_84	9	4
SpringOatPeaIntercrop_2024_NY_85	9	5
SpringOatPeaIntercrop_2024_NY_86	9	6
SpringOatPeaIntercrop_2024_NY_87	9	7
SpringOatPeaIntercrop_2024_NY_88	9	8
SpringOatPeaIntercrop_2024_NY_89	9	9
SpringOatPeaIntercrop_2024_NY_90	9	10
SpringOatPeaIntercrop_2024_NY_181	9	11
SpringOatPeaIntercrop_2024_NY_182	9	12
SpringOatPeaIntercrop_2024_NY_183	9	13
SpringOatPeaIntercrop_2024_NY_184	9	14
SpringOatPeaIntercrop_2024_NY_185	9	15
SpringOatPeaIntercrop_2024_NY_186	9	16
SpringOatPeaIntercrop_2024_NY_187	9	17
SpringOatPeaIntercrop_2024_NY_188	9	18
SpringOatPeaIntercrop_2024_NY_189	9	19
SpringOatPeaIntercrop_2024_NY_190	9	20
SpringOatPeaIntercrop_2024_NY_80	8	1
SpringOatPeaIntercrop_2024_NY_79	8	2
SpringOatPeaIntercrop_2024_NY_78	8	3
SpringOatPeaIntercrop_2024_NY_77	8	4
SpringOatPeaIntercrop_2024_NY_76	8	5
SpringOatPeaIntercrop_2024_NY_75	8	6
SpringOatPeaIntercrop_2024_NY_74	8	7
SpringOatPeaIntercrop_2024_NY_73	8	8
SpringOatPeaIntercrop_2024_NY_72	8	9
SpringOatPeaIntercrop_2024_NY_71	8	10
SpringOatPeaIntercrop_2024_NY_180	8	11
SpringOatPeaIntercrop_2024_NY_179	8	12
SpringOatPeaIntercrop_2024_NY_178	8	13
SpringOatPeaIntercrop_2024_NY_177	8	14
SpringOatPeaIntercrop_2024_NY_176	8	15
SpringOatPeaIntercrop_2024_NY_175	8	16
SpringOatPeaIntercrop_2024_NY_174	8	17
SpringOatPeaIntercrop_2024_NY_173	8	18
SpringOatPeaIntercrop_2024_NY_172	8	19
SpringOatPeaIntercrop_2024_NY_171	8	20
SpringOatPeaIntercrop_2024_NY_61	7	1
SpringOatPeaIntercrop_2024_NY_62	7	2
SpringOatPeaIntercrop_2024_NY_63	7	3
SpringOatPeaIntercrop_2024_NY_64	7	4
SpringOatPeaIntercrop_2024_NY_65	7	5
SpringOatPeaIntercrop_2024_NY_66	7	6
SpringOatPeaIntercrop_2024_NY_67	7	7
SpringOatPeaIntercrop_2024_NY_68	7	8
SpringOatPeaIntercrop_2024_NY_69	7	9
SpringOatPeaIntercrop_2024_NY_70	7	10
SpringOatPeaIntercrop_2024_NY_161	7	11
SpringOatPeaIntercrop_2024_NY_162	7	12
SpringOatPeaIntercrop_2024_NY_163	7	13
SpringOatPeaIntercrop_2024_NY_164	7	14
SpringOatPeaIntercrop_2024_NY_165	7	15
SpringOatPeaIntercrop_2024_NY_166	7	16
SpringOatPeaIntercrop_2024_NY_167	7	17
SpringOatPeaIntercrop_2024_NY_168	7	18
SpringOatPeaIntercrop_2024_NY_169	7	19
SpringOatPeaIntercrop_2024_NY_170	7	20
SpringOatPeaIntercrop_2024_NY_60	6	1
SpringOatPeaIntercrop_2024_NY_59	6	2
SpringOatPeaIntercrop_2024_NY_58	6	3
SpringOatPeaIntercrop_2024_NY_57	6	4
SpringOatPeaIntercrop_2024_NY_56	6	5
SpringOatPeaIntercrop_2024_NY_55	6	6
SpringOatPeaIntercrop_2024_NY_54	6	7
SpringOatPeaIntercrop_2024_NY_53	6	8
SpringOatPeaIntercrop_2024_NY_52	6	9
SpringOatPeaIntercrop_2024_NY_51	6	10
SpringOatPeaIntercrop_2024_NY_160	6	11
