"","plot_number","peaName","ManagementFactor:SpringOatPeaIntercrop_2024_SD_AUSTRIAN FIELD PEAS","ManagementFactor:SpringOatPeaIntercrop_2024_SD_delta field pea","ManagementFactor:SpringOatPeaIntercrop_2024_SD_DS Admiral","ManagementFactor:SpringOatPeaIntercrop_2024_SD_Frostmaster Peas","ManagementFactor:SpringOatPeaIntercrop_2024_SD_Icicle Winter Peas","ManagementFactor:SpringOatPeaIntercrop_2024_SD_Maxum","ManagementFactor:SpringOatPeaIntercrop_2024_SD_ND Dawn","ManagementFactor:SpringOatPeaIntercrop_2024_SD_ND Victory","ManagementFactor:SpringOatPeaIntercrop_2024_SD_NDP140510Y","ManagementFactor:SpringOatPeaIntercrop_2024_SD_NDP150231Y","ManagementFactor:SpringOatPeaIntercrop_2024_SD_NDP150412G","ManagementFactor:SpringOatPeaIntercrop_2024_SD_Organic 4010"
"1",101,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"2",102,"na",0,0,0,0,0,0,0,0,0,0,0,0
"3",103,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"4",104,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"5",105,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"6",106,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"7",107,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"8",108,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"9",109,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"10",110,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"11",111,"na",0,0,0,0,0,0,0,0,0,0,0,0
"12",112,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"13",113,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"14",114,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
"15",115,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"16",116,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
"17",117,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"18",118,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"19",119,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
"20",120,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"21",121,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"22",122,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"23",123,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"24",124,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"25",125,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"26",126,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"27",127,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"28",128,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"29",129,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"30",130,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"31",131,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
"32",132,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"33",133,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"34",134,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"35",135,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"36",136,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"37",137,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"38",138,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"39",139,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"40",140,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"41",141,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"42",142,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"43",143,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"44",144,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"45",145,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"46",146,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"47",147,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"48",148,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"49",149,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"50",150,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"51",151,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"52",152,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"53",153,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
"54",154,"na",0,0,0,0,0,0,0,0,0,0,0,0
"55",155,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"56",156,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"57",157,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"58",158,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"59",159,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"60",160,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"61",161,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"62",162,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"63",163,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"64",164,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"65",165,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"66",166,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"67",167,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"68",168,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"69",169,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"70",170,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"71",171,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"72",172,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"73",173,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
"74",174,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"75",175,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"76",176,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"77",177,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"78",178,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"79",179,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"80",180,"na",0,0,0,0,0,0,0,0,0,0,0,0
"81",181,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"82",182,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"83",183,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"84",184,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"85",185,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"86",186,"ND Victory",0,0,0,0,0,0,0,1,0,0,0,0
"87",187,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"88",188,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"89",189,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"90",190,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"91",191,"DS Admiral",0,0,1,0,0,0,0,0,0,0,0,0
"92",192,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
"93",193,"NDP150412G",0,0,0,0,0,0,0,0,0,0,1,0
"94",194,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"95",195,"Organic 4010",0,0,0,0,0,0,0,0,0,0,0,1
"96",196,"NDP150231Y",0,0,0,0,0,0,0,0,0,1,0,0
"97",197,"na",0,0,0,0,0,0,0,0,0,0,0,0
"98",198,"NDP140510Y",0,0,0,0,0,0,0,0,1,0,0,0
"99",199,"delta field pea",0,1,0,0,0,0,0,0,0,0,0,0
"100",200,"ND Dawn",0,0,0,0,0,0,1,0,0,0,0,0
"101",201,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"102",202,"Maxum",0,0,0,0,0,1,0,0,0,0,0,0
"103",203,"Frostmaster Peas",0,0,0,1,0,0,0,0,0,0,0,0
"104",204,"Icicle Winter Peas",0,0,0,0,1,0,0,0,0,0,0,0
"105",205,"AUSTRIAN FIELD PEAS",1,0,0,0,0,0,0,0,0,0,0,0
