"subplot_name","subplot_id","block_number","plot_number","subplot_number","biomass_1","biomass_2","biomass_3","biomass_4"
"SpringOatPeaIntercrop_2024_NY_1_subplot_1",714086,1,1,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_1_subplot_2",714087,1,1,2,,,,
"SpringOatPeaIntercrop_2024_NY_1_subplot_3",714088,1,1,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_2_subplot_1",714002,1,2,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_2_subplot_2",714004,1,2,2,,,,
"SpringOatPeaIntercrop_2024_NY_2_subplot_3",714006,1,2,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_3_subplot_1",714187,1,3,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_3_subplot_2",714189,1,3,2,,,,
"SpringOatPeaIntercrop_2024_NY_3_subplot_3",714191,1,3,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_4_subplot_1",713812,1,4,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_4_subplot_2",713814,1,4,2,,,,
"SpringOatPeaIntercrop_2024_NY_4_subplot_3",713815,1,4,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_5_subplot_1",714157,1,5,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_5_subplot_2",714159,1,5,2,,,,
"SpringOatPeaIntercrop_2024_NY_5_subplot_3",714161,1,5,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_6_subplot_1",714270,1,6,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_6_subplot_2",714272,1,6,2,,,,
"SpringOatPeaIntercrop_2024_NY_6_subplot_3",714274,1,6,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_7_subplot_1",714578,1,7,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_7_subplot_2",714580,1,7,2,,,,
"SpringOatPeaIntercrop_2024_NY_7_subplot_3",714582,1,7,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_8_subplot_1",714414,1,8,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_8_subplot_2",714416,1,8,2,,,,
"SpringOatPeaIntercrop_2024_NY_8_subplot_3",714418,1,8,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_9_subplot_1",714329,1,9,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_9_subplot_2",714331,1,9,2,,,,
"SpringOatPeaIntercrop_2024_NY_9_subplot_3",714333,1,9,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_10_subplot_1",714047,1,10,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_10_subplot_2",714048,1,10,2,,,,
"SpringOatPeaIntercrop_2024_NY_10_subplot_3",714049,1,10,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_11_subplot_1",714068,1,11,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_11_subplot_2",714069,1,11,2,,,,
"SpringOatPeaIntercrop_2024_NY_11_subplot_3",714070,1,11,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_12_subplot_1",713672,1,12,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_12_subplot_2",713674,1,12,2,,,,
"SpringOatPeaIntercrop_2024_NY_12_subplot_3",713676,1,12,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_13_subplot_1",714531,1,13,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_13_subplot_2",714533,1,13,2,,,,
"SpringOatPeaIntercrop_2024_NY_13_subplot_3",714535,1,13,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_14_subplot_1",714107,1,14,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_14_subplot_2",714108,1,14,2,,,,
"SpringOatPeaIntercrop_2024_NY_14_subplot_3",714109,1,14,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_15_subplot_1",713737,1,15,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_15_subplot_2",713739,1,15,2,,,,
"SpringOatPeaIntercrop_2024_NY_15_subplot_3",713741,1,15,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_16_subplot_1",714125,1,16,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_16_subplot_2",714126,1,16,2,,,,
"SpringOatPeaIntercrop_2024_NY_16_subplot_3",714127,1,16,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_17_subplot_1",714341,1,17,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_17_subplot_2",714343,1,17,2,,,,
"SpringOatPeaIntercrop_2024_NY_17_subplot_3",714345,1,17,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_18_subplot_1",713692,1,18,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_18_subplot_2",713694,1,18,2,,,,
"SpringOatPeaIntercrop_2024_NY_18_subplot_3",713696,1,18,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_19_subplot_1",714175,1,19,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_19_subplot_2",714177,1,19,2,,,,
"SpringOatPeaIntercrop_2024_NY_19_subplot_3",714179,1,19,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_20_subplot_1",713931,1,20,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_20_subplot_2",713933,1,20,2,,,,
"SpringOatPeaIntercrop_2024_NY_20_subplot_3",713935,1,20,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_21_subplot_1",713955,1,21,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_21_subplot_2",713957,1,21,2,,,,
"SpringOatPeaIntercrop_2024_NY_21_subplot_3",713959,1,21,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_22_subplot_1",714317,1,22,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_22_subplot_2",714319,1,22,2,,,,
"SpringOatPeaIntercrop_2024_NY_22_subplot_3",714321,1,22,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_23_subplot_1",713577,1,23,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_23_subplot_2",713579,1,23,2,,,,
"SpringOatPeaIntercrop_2024_NY_23_subplot_3",713581,1,23,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_24_subplot_1",714029,1,24,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_24_subplot_2",714030,1,24,2,,,,
"SpringOatPeaIntercrop_2024_NY_24_subplot_3",714031,1,24,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_25_subplot_1",714116,1,25,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_25_subplot_2",714117,1,25,2,,,,
"SpringOatPeaIntercrop_2024_NY_25_subplot_3",714118,1,25,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_26_subplot_1",713769,1,26,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_26_subplot_2",713771,1,26,2,,,,
"SpringOatPeaIntercrop_2024_NY_26_subplot_3",713773,1,26,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_27_subplot_1",713679,1,27,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_27_subplot_2",713681,1,27,2,,,,
"SpringOatPeaIntercrop_2024_NY_27_subplot_3",713683,1,27,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_28_subplot_1",714372,1,28,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_28_subplot_2",714374,1,28,2,,,,
"SpringOatPeaIntercrop_2024_NY_28_subplot_3",714376,1,28,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_29_subplot_1",713799,1,29,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_29_subplot_2",713801,1,29,2,,,,
"SpringOatPeaIntercrop_2024_NY_29_subplot_3",713803,1,29,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_30_subplot_1",714205,1,30,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_30_subplot_2",714207,1,30,2,,,,
"SpringOatPeaIntercrop_2024_NY_30_subplot_3",714209,1,30,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_31_subplot_1",714181,1,31,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_31_subplot_2",714183,1,31,2,,,,
"SpringOatPeaIntercrop_2024_NY_31_subplot_3",714185,1,31,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_32_subplot_1",713564,1,32,1,,1,,1
"SpringOatPeaIntercrop_2024_NY_32_subplot_2",713566,1,32,2,,,,
"SpringOatPeaIntercrop_2024_NY_32_subplot_3",713568,1,32,3,1,,1,
"SpringOatPeaIntercrop_2024_NY_33_subplot_1",714247,1,33,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_33_subplot_2",714249,1,33,2,,,,
"SpringOatPeaIntercrop_2024_NY_33_subplot_3",714251,1,33,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_34_subplot_1",714151,1,34,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_34_subplot_2",714153,1,34,2,,,,
"SpringOatPeaIntercrop_2024_NY_34_subplot_3",714155,1,34,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_35_subplot_1",714019,1,35,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_35_subplot_2",714021,1,35,2,,,,
"SpringOatPeaIntercrop_2024_NY_35_subplot_3",714022,1,35,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_36_subplot_1",714098,1,36,1,,1,1,
"SpringOatPeaIntercrop_2024_NY_36_subplot_2",714099,1,36,2,,,,
"SpringOatPeaIntercrop_2024_NY_36_subplot_3",714100,1,36,3,1,,,1
"SpringOatPeaIntercrop_2024_NY_37_subplot_1",714478,1,37,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_37_subplot_2",714480,1,37,2,,,,
"SpringOatPeaIntercrop_2024_NY_37_subplot_3",714482,1,37,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_38_subplot_1",713538,1,38,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_38_subplot_2",713540,1,38,2,,,,
"SpringOatPeaIntercrop_2024_NY_38_subplot_3",713542,1,38,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_39_subplot_1",714113,1,39,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_39_subplot_2",714114,1,39,2,,,,
"SpringOatPeaIntercrop_2024_NY_39_subplot_3",714115,1,39,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_40_subplot_1",713842,1,40,1,1,,1,
"SpringOatPeaIntercrop_2024_NY_40_subplot_2",713844,1,40,2,,,,
"SpringOatPeaIntercrop_2024_NY_40_subplot_3",713845,1,40,3,,1,,1
"SpringOatPeaIntercrop_2024_NY_41_subplot_1",713829,1,41,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_41_subplot_2",713831,1,41,2,,,,
"SpringOatPeaIntercrop_2024_NY_41_subplot_3",713833,1,41,3,,1,1,
"SpringOatPeaIntercrop_2024_NY_42_subplot_1",714502,1,42,1,1,,,1
"SpringOatPeaIntercrop_2024_NY_42_subplot_2",714504,1,42,2,,,,
