"biomass_sample_id","subplot_id","plot_number","subplot_number","crop"
"plot_3_subplot_1_oat",717360,3,1,"oat"
"plot_3_subplot_1_pea",717360,3,1,"pea"
"plot_3_subplot_1_weed",717360,3,1,"weed"
"plot_6_subplot_3_oat",717386,6,3,"oat"
"plot_6_subplot_3_pea",717386,6,3,"pea"
"plot_6_subplot_3_weed",717386,6,3,"weed"
"plot_7_subplot_1_oat",717486,7,1,"oat"
"plot_7_subplot_1_pea",717486,7,1,"pea"
"plot_7_subplot_1_weed",717486,7,1,"weed"
"plot_8_subplot_3_oat",717500,8,3,"oat"
"plot_8_subplot_3_pea",717500,8,3,"pea"
"plot_8_subplot_3_weed",717500,8,3,"weed"
"plot_10_subplot_1_oat",717354,10,1,"oat"
"plot_10_subplot_1_pea",717354,10,1,"pea"
"plot_10_subplot_1_weed",717354,10,1,"weed"
"plot_12_subplot_3_oat",717497,12,3,"oat"
"plot_12_subplot_3_pea",717497,12,3,"pea"
"plot_12_subplot_3_weed",717497,12,3,"weed"
"plot_14_subplot_1_oat",717489,14,1,"oat"
"plot_14_subplot_1_pea",717489,14,1,"pea"
"plot_14_subplot_1_weed",717489,14,1,"weed"
"plot_16_subplot_3_oat",717398,16,3,"oat"
"plot_16_subplot_3_pea",717398,16,3,"pea"
"plot_16_subplot_3_weed",717398,16,3,"weed"
"plot_17_subplot_3_oat",717431,17,3,"oat"
"plot_17_subplot_3_pea",717431,17,3,"pea"
"plot_17_subplot_3_weed",717431,17,3,"weed"
"plot_20_subplot_3_oat",717353,20,3,"oat"
"plot_20_subplot_3_pea",717353,20,3,"pea"
"plot_20_subplot_3_weed",717353,20,3,"weed"
"plot_22_subplot_3_oat",717503,22,3,"oat"
"plot_22_subplot_3_pea",717503,22,3,"pea"
"plot_22_subplot_3_weed",717503,22,3,"weed"
"plot_23_subplot_3_oat",717473,23,3,"oat"
"plot_23_subplot_3_pea",717473,23,3,"pea"
"plot_23_subplot_3_weed",717473,23,3,"weed"
"plot_27_subplot_3_oat",717443,27,3,"oat"
"plot_27_subplot_3_pea",717443,27,3,"pea"
"plot_27_subplot_3_weed",717443,27,3,"weed"
"plot_30_subplot_1_oat",717387,30,1,"oat"
"plot_30_subplot_1_pea",717387,30,1,"pea"
"plot_30_subplot_1_weed",717387,30,1,"weed"
"plot_31_subplot_3_oat",717452,31,3,"oat"
"plot_31_subplot_3_pea",717452,31,3,"pea"
"plot_31_subplot_3_weed",717452,31,3,"weed"
"plot_32_subplot_1_oat",717477,32,1,"oat"
"plot_32_subplot_1_pea",717477,32,1,"pea"
"plot_32_subplot_1_weed",717477,32,1,"weed"
"plot_33_subplot_3_oat",717446,33,3,"oat"
"plot_33_subplot_3_pea",717446,33,3,"pea"
"plot_33_subplot_3_weed",717446,33,3,"weed"
"plot_35_subplot_1_oat",717438,35,1,"oat"
"plot_35_subplot_1_pea",717438,35,1,"pea"
"plot_35_subplot_1_weed",717438,35,1,"weed"
"plot_36_subplot_3_oat",717368,36,3,"oat"
"plot_36_subplot_3_pea",717368,36,3,"pea"
"plot_36_subplot_3_weed",717368,36,3,"weed"
"plot_38_subplot_3_oat",717437,38,3,"oat"
"plot_38_subplot_3_pea",717437,38,3,"pea"
"plot_38_subplot_3_weed",717437,38,3,"weed"
"plot_39_subplot_3_oat",717428,39,3,"oat"
"plot_39_subplot_3_pea",717428,39,3,"pea"
"plot_39_subplot_3_weed",717428,39,3,"weed"
"plot_40_subplot_1_oat",717432,40,1,"oat"
"plot_40_subplot_1_pea",717432,40,1,"pea"
"plot_40_subplot_1_weed",717432,40,1,"weed"
"plot_41_subplot_1_oat",717483,41,1,"oat"
"plot_41_subplot_1_pea",717483,41,1,"pea"
"plot_41_subplot_1_weed",717483,41,1,"weed"
"plot_44_subplot_3_oat",717464,44,3,"oat"
"plot_44_subplot_3_pea",717464,44,3,"pea"
"plot_44_subplot_3_weed",717464,44,3,"weed"
"plot_46_subplot_1_oat",717411,46,1,"oat"
"plot_46_subplot_1_pea",717411,46,1,"pea"
"plot_46_subplot_1_weed",717411,46,1,"weed"
"plot_51_subplot_3_oat",717455,51,3,"oat"
"plot_51_subplot_3_pea",717455,51,3,"pea"
"plot_51_subplot_3_weed",717455,51,3,"weed"
