biomass_sample_id,subplot_id,plot_number,subplot_number,crop,unique_id
plot_1_subplot_1_oat,717381,1,1,oat,1o
plot_1_subplot_1_pea,717381,1,1,pea,1p
plot_1_subplot_1_weed,717381,1,1,weed,1w
plot_2_subplot_1_oat,717378,2,1,oat,2o
plot_2_subplot_1_pea,717378,2,1,pea,2p
plot_2_subplot_1_weed,717378,2,1,weed,2w
plot_4_subplot_3_oat,717416,4,3,oat,4o
plot_4_subplot_3_pea,717416,4,3,pea,4p
plot_4_subplot_3_weed,717416,4,3,weed,4w
plot_5_subplot_1_oat,717357,5,1,oat,5o
plot_5_subplot_1_pea,717357,5,1,pea,5p
plot_5_subplot_1_weed,717357,5,1,weed,5w
plot_9_subplot_3_oat,717470,9,3,oat,9o
plot_9_subplot_3_pea,717470,9,3,pea,9p
plot_9_subplot_3_weed,717470,9,3,weed,9w
plot_11_subplot_3_oat,717467,11,3,oat,11o
plot_11_subplot_3_pea,717467,11,3,pea,11p
plot_11_subplot_3_weed,717467,11,3,weed,11w
plot_13_subplot_1_oat,717456,13,1,oat,13o
plot_13_subplot_1_pea,717456,13,1,pea,13p
plot_13_subplot_1_weed,717456,13,1,weed,13w
plot_15_subplot_1_oat,717417,15,1,oat,15o
plot_15_subplot_1_pea,717417,15,1,pea,15p
plot_15_subplot_1_weed,717417,15,1,weed,15w
plot_18_subplot_1_oat,717420,18,1,oat,18o
plot_18_subplot_1_pea,717420,18,1,pea,18p
plot_18_subplot_1_weed,717420,18,1,weed,18w
plot_19_subplot_3_oat,717410,19,3,oat,19o
plot_19_subplot_3_pea,717410,19,3,pea,19p
plot_19_subplot_3_weed,717410,19,3,weed,19w
plot_21_subplot_3_oat,717461,21,3,oat,21o
plot_21_subplot_3_pea,717461,21,3,pea,21p
plot_21_subplot_3_weed,717461,21,3,weed,21w
plot_24_subplot_3_oat,717476,24,3,oat,24o
plot_24_subplot_3_pea,717476,24,3,pea,24p
plot_24_subplot_3_weed,717476,24,3,weed,24w
plot_25_subplot_3_oat,717401,25,3,oat,25o
plot_25_subplot_3_pea,717401,25,3,pea,25p
plot_25_subplot_3_weed,717401,25,3,weed,25w
plot_26_subplot_1_oat,717369,26,1,oat,26o
plot_26_subplot_1_pea,717369,26,1,pea,26p
plot_26_subplot_1_weed,717369,26,1,weed,26w
plot_28_subplot_3_oat,717407,28,3,oat,28o
plot_28_subplot_3_pea,717407,28,3,pea,28p
plot_28_subplot_3_weed,717407,28,3,weed,28w
plot_29_subplot_3_oat,717425,29,3,oat,29o
plot_29_subplot_3_pea,717425,29,3,pea,29p
plot_29_subplot_3_weed,717425,29,3,weed,29w
plot_34_subplot_1_oat,717504,34,1,oat,34o
plot_34_subplot_1_pea,717504,34,1,pea,34p
plot_34_subplot_1_weed,717504,34,1,weed,34w
plot_37_subplot_1_oat,717402,37,1,oat,37o
plot_37_subplot_1_pea,717402,37,1,pea,37p
plot_37_subplot_1_weed,717402,37,1,weed,37w
plot_42_subplot_3_oat,717449,42,3,oat,42o
plot_42_subplot_3_pea,717449,42,3,pea,42p
plot_42_subplot_3_weed,717449,42,3,weed,42w
plot_43_subplot_3_oat,717494,43,3,oat,43o
plot_43_subplot_3_pea,717494,43,3,pea,43p
plot_43_subplot_3_weed,717494,43,3,weed,43w
plot_45_subplot_1_oat,717372,45,1,oat,45o
plot_45_subplot_1_pea,717372,45,1,pea,45p
plot_45_subplot_1_weed,717372,45,1,weed,45w
plot_47_subplot_3_oat,717365,47,3,oat,47o
plot_47_subplot_3_pea,717365,47,3,pea,47p
plot_47_subplot_3_weed,717365,47,3,weed,47w
plot_48_subplot_3_oat,717377,48,3,oat,48o
plot_48_subplot_3_pea,717377,48,3,pea,48p
plot_48_subplot_3_weed,717377,48,3,weed,48w
plot_49_subplot_1_oat,717393,49,1,oat,49o
plot_49_subplot_1_pea,717393,49,1,pea,49p
plot_49_subplot_1_weed,717393,49,1,weed,49w
plot_50_subplot_3_oat,717392,50,3,oat,50o
plot_50_subplot_3_pea,717392,50,3,pea,50p
plot_50_subplot_3_weed,717392,50,3,weed,50w
plot_52_subplot_3_oat,717482,52,3,oat,52o
plot_52_subplot_3_pea,717482,52,3,pea,52p
plot_52_subplot_3_weed,717482,52,3,weed,52w
