subplot_name,subplot_id,block_number,plot_number,subplot_number,biomass_1,biomass_2,biomass_3,biomass_4
Cornell_OatPeaDensity_2024_Ithaca_1_subplot_1,717381,1,1,1,,1,,1
Cornell_OatPeaDensity_2024_Ithaca_1_subplot_2,717382,1,1,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_1_subplot_3,717383,1,1,3,1,,1,
Cornell_OatPeaDensity_2024_Ithaca_2_subplot_1,717378,1,2,1,,1,1,
Cornell_OatPeaDensity_2024_Ithaca_2_subplot_2,717379,1,2,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_2_subplot_3,717380,1,2,3,1,,,1
Cornell_OatPeaDensity_2024_Ithaca_3_subplot_1,717360,1,3,1,,1,1,
Cornell_OatPeaDensity_2024_Ithaca_3_subplot_2,717361,1,3,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_3_subplot_3,717362,1,3,3,1,,1,
Cornell_OatPeaDensity_2024_Ithaca_4_subplot_1,717414,1,4,1,1,,1,
Cornell_OatPeaDensity_2024_Ithaca_4_subplot_2,717415,1,4,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_4_subplot_3,717416,1,4,3,1,,,1
Cornell_OatPeaDensity_2024_Ithaca_5_subplot_1,717357,1,5,1,,1,,1
Cornell_OatPeaDensity_2024_Ithaca_5_subplot_2,717358,1,5,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_5_subplot_3,717359,1,5,3,1,,1,
Cornell_OatPeaDensity_2024_Ithaca_6_subplot_1,717384,1,6,1,,1,,1
Cornell_OatPeaDensity_2024_Ithaca_6_subplot_2,717385,1,6,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_6_subplot_3,717386,1,6,3,,1,1,
Cornell_OatPeaDensity_2024_Ithaca_7_subplot_1,717486,1,7,1,,1,1,
Cornell_OatPeaDensity_2024_Ithaca_7_subplot_2,717487,1,7,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_7_subplot_3,717488,1,7,3,1,,1,
Cornell_OatPeaDensity_2024_Ithaca_8_subplot_1,717498,1,8,1,1,,,1
Cornell_OatPeaDensity_2024_Ithaca_8_subplot_2,717499,1,8,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_8_subplot_3,717500,1,8,3,1,,1,
Cornell_OatPeaDensity_2024_Ithaca_9_subplot_1,717468,1,9,1,1,,,1
Cornell_OatPeaDensity_2024_Ithaca_9_subplot_2,717469,1,9,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_9_subplot_3,717470,1,9,3,1,,1,
Cornell_OatPeaDensity_2024_Ithaca_10_subplot_1,717354,1,10,1,,1,1,
Cornell_OatPeaDensity_2024_Ithaca_10_subplot_2,717355,1,10,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_10_subplot_3,717356,1,10,3,1,,,1
Cornell_OatPeaDensity_2024_Ithaca_11_subplot_1,717465,1,11,1,,1,,1
Cornell_OatPeaDensity_2024_Ithaca_11_subplot_2,717466,1,11,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_11_subplot_3,717467,1,11,3,,1,,1
Cornell_OatPeaDensity_2024_Ithaca_12_subplot_1,717495,1,12,1,1,,,1
Cornell_OatPeaDensity_2024_Ithaca_12_subplot_2,717496,1,12,2,,,,
Cornell_OatPeaDensity_2024_Ithaca_12_subplot_3,717497,1,12,3,,1,,1
