"biomass_sample_id","subplot_id","plot_number","subplot_number","crop"
"plot_1_subplot_1_oat",714086,1,1,"oat"
"plot_1_subplot_1_pea",714086,1,1,"pea"
"plot_1_subplot_1_weed",714086,1,1,"weed"
"plot_2_subplot_1_oat",714002,2,1,"oat"
"plot_2_subplot_1_pea",714002,2,1,"pea"
"plot_2_subplot_1_weed",714002,2,1,"weed"
"plot_5_subplot_3_oat",714161,5,3,"oat"
"plot_5_subplot_3_pea",714161,5,3,"pea"
"plot_5_subplot_3_weed",714161,5,3,"weed"
"plot_6_subplot_3_oat",714274,6,3,"oat"
"plot_6_subplot_3_pea",714274,6,3,"pea"
"plot_6_subplot_3_weed",714274,6,3,"weed"
"plot_13_subplot_3_oat",714535,13,3,"oat"
"plot_13_subplot_3_pea",714535,13,3,"pea"
"plot_13_subplot_3_weed",714535,13,3,"weed"
"plot_14_subplot_3_oat",714109,14,3,"oat"
"plot_14_subplot_3_pea",714109,14,3,"pea"
"plot_14_subplot_3_weed",714109,14,3,"weed"
"plot_15_subplot_3_oat",713741,15,3,"oat"
"plot_15_subplot_3_pea",713741,15,3,"pea"
"plot_15_subplot_3_weed",713741,15,3,"weed"
"plot_16_subplot_3_oat",714127,16,3,"oat"
"plot_16_subplot_3_pea",714127,16,3,"pea"
"plot_16_subplot_3_weed",714127,16,3,"weed"
"plot_21_subplot_1_oat",713955,21,1,"oat"
"plot_21_subplot_1_pea",713955,21,1,"pea"
"plot_21_subplot_1_weed",713955,21,1,"weed"
"plot_22_subplot_1_oat",714317,22,1,"oat"
"plot_22_subplot_1_pea",714317,22,1,"pea"
"plot_22_subplot_1_weed",714317,22,1,"weed"
"plot_23_subplot_1_oat",713577,23,1,"oat"
"plot_23_subplot_1_pea",713577,23,1,"pea"
"plot_23_subplot_1_weed",713577,23,1,"weed"
"plot_24_subplot_1_oat",714029,24,1,"oat"
"plot_24_subplot_1_pea",714029,24,1,"pea"
"plot_24_subplot_1_weed",714029,24,1,"weed"
"plot_25_subplot_3_oat",714118,25,3,"oat"
"plot_25_subplot_3_pea",714118,25,3,"pea"
"plot_25_subplot_3_weed",714118,25,3,"weed"
"plot_26_subplot_3_oat",713773,26,3,"oat"
"plot_26_subplot_3_pea",713773,26,3,"pea"
"plot_26_subplot_3_weed",713773,26,3,"weed"
"plot_29_subplot_3_oat",713803,29,3,"oat"
"plot_29_subplot_3_pea",713803,29,3,"pea"
"plot_29_subplot_3_weed",713803,29,3,"weed"
"plot_30_subplot_3_oat",714209,30,3,"oat"
"plot_30_subplot_3_pea",714209,30,3,"pea"
"plot_30_subplot_3_weed",714209,30,3,"weed"
"plot_31_subplot_1_oat",714181,31,1,"oat"
"plot_31_subplot_1_pea",714181,31,1,"pea"
"plot_31_subplot_1_weed",714181,31,1,"weed"
"plot_32_subplot_1_oat",713564,32,1,"oat"
"plot_32_subplot_1_pea",713564,32,1,"pea"
"plot_32_subplot_1_weed",713564,32,1,"weed"
"plot_33_subplot_1_oat",714247,33,1,"oat"
"plot_33_subplot_1_pea",714247,33,1,"pea"
"plot_33_subplot_1_weed",714247,33,1,"weed"
"plot_34_subplot_1_oat",714151,34,1,"oat"
"plot_34_subplot_1_pea",714151,34,1,"pea"
"plot_34_subplot_1_weed",714151,34,1,"weed"
"plot_37_subplot_1_oat",714478,37,1,"oat"
"plot_37_subplot_1_pea",714478,37,1,"pea"
"plot_37_subplot_1_weed",714478,37,1,"weed"
"plot_38_subplot_1_oat",713538,38,1,"oat"
"plot_38_subplot_1_pea",713538,38,1,"pea"
"plot_38_subplot_1_weed",713538,38,1,"weed"
"plot_39_subplot_3_oat",714115,39,3,"oat"
"plot_39_subplot_3_pea",714115,39,3,"pea"
"plot_39_subplot_3_weed",714115,39,3,"weed"
"plot_40_subplot_3_oat",713845,40,3,"oat"
"plot_40_subplot_3_pea",713845,40,3,"pea"
"plot_40_subplot_3_weed",713845,40,3,"weed"
"plot_43_subplot_1_oat",713614,43,1,"oat"
"plot_43_subplot_1_pea",713614,43,1,"pea"
"plot_43_subplot_1_weed",713614,43,1,"weed"
"plot_44_subplot_1_oat",713750,44,1,"oat"
"plot_44_subplot_1_pea",713750,44,1,"pea"
"plot_44_subplot_1_weed",713750,44,1,"weed"
"plot_45_subplot_1_oat",714101,45,1,"oat"
"plot_45_subplot_1_pea",714101,45,1,"pea"
"plot_45_subplot_1_weed",714101,45,1,"weed"
"plot_46_subplot_1_oat",714035,46,1,"oat"
"plot_46_subplot_1_pea",714035,46,1,"pea"
"plot_46_subplot_1_weed",714035,46,1,"weed"
"plot_59_subplot_3_oat",714085,59,3,"oat"
"plot_59_subplot_3_pea",714085,59,3,"pea"
"plot_59_subplot_3_weed",714085,59,3,"weed"
"plot_60_subplot_3_oat",714351,60,3,"oat"
"plot_60_subplot_3_pea",714351,60,3,"pea"
"plot_60_subplot_3_weed",714351,60,3,"weed"
"plot_63_subplot_3_oat",714149,63,3,"oat"
"plot_63_subplot_3_pea",714149,63,3,"pea"
"plot_63_subplot_3_weed",714149,63,3,"weed"
"plot_64_subplot_3_oat",714256,64,3,"oat"
"plot_64_subplot_3_pea",714256,64,3,"pea"
"plot_64_subplot_3_weed",714256,64,3,"weed"
"plot_65_subplot_1_oat",713602,65,1,"oat"
"plot_65_subplot_1_pea",713602,65,1,"pea"
"plot_65_subplot_1_weed",713602,65,1,"weed"
"plot_66_subplot_1_oat",714584,66,1,"oat"
"plot_66_subplot_1_pea",714584,66,1,"pea"
"plot_66_subplot_1_weed",714584,66,1,"weed"
"plot_67_subplot_3_oat",714052,67,3,"oat"
"plot_67_subplot_3_pea",714052,67,3,"pea"
"plot_67_subplot_3_weed",714052,67,3,"weed"
"plot_68_subplot_3_oat",713941,68,3,"oat"
"plot_68_subplot_3_pea",713941,68,3,"pea"
"plot_68_subplot_3_weed",713941,68,3,"weed"
"plot_69_subplot_1_oat",714555,69,1,"oat"
"plot_69_subplot_1_pea",714555,69,1,"pea"
"plot_69_subplot_1_weed",714555,69,1,"weed"
"plot_70_subplot_1_oat",714461,70,1,"oat"
"plot_70_subplot_1_pea",714461,70,1,"pea"
"plot_70_subplot_1_weed",714461,70,1,"weed"
"plot_73_subplot_1_oat",714074,73,1,"oat"
"plot_73_subplot_1_pea",714074,73,1,"pea"
"plot_73_subplot_1_weed",714074,73,1,"weed"
"plot_74_subplot_1_oat",714519,74,1,"oat"
"plot_74_subplot_1_pea",714519,74,1,"pea"
"plot_74_subplot_1_weed",714519,74,1,"weed"
"plot_75_subplot_3_oat",713650,75,3,"oat"
"plot_75_subplot_3_pea",713650,75,3,"pea"
"plot_75_subplot_3_weed",713650,75,3,"weed"
"plot_76_subplot_3_oat",714286,76,3,"oat"
"plot_76_subplot_3_pea",714286,76,3,"pea"
"plot_76_subplot_3_weed",714286,76,3,"weed"
"plot_77_subplot_1_oat",714211,77,1,"oat"
"plot_77_subplot_1_pea",714211,77,1,"pea"
"plot_77_subplot_1_weed",714211,77,1,"weed"
"plot_78_subplot_1_oat",713865,78,1,"oat"
"plot_78_subplot_1_pea",713865,78,1,"pea"
"plot_78_subplot_1_weed",713865,78,1,"weed"
"plot_79_subplot_1_oat",714311,79,1,"oat"
"plot_79_subplot_1_pea",714311,79,1,"pea"
"plot_79_subplot_1_weed",714311,79,1,"weed"
"plot_80_subplot_1_oat",714537,80,1,"oat"
"plot_80_subplot_1_pea",714537,80,1,"pea"
"plot_80_subplot_1_weed",714537,80,1,"weed"
"plot_85_subplot_1_oat",713711,85,1,"oat"
"plot_85_subplot_1_pea",713711,85,1,"pea"
"plot_85_subplot_1_weed",713711,85,1,"weed"
"plot_86_subplot_1_oat",714396,86,1,"oat"
"plot_86_subplot_1_pea",714396,86,1,"pea"
"plot_86_subplot_1_weed",714396,86,1,"weed"
"plot_97_subplot_3_oat",714043,97,3,"oat"
"plot_97_subplot_3_pea",714043,97,3,"pea"
"plot_97_subplot_3_weed",714043,97,3,"weed"
"plot_98_subplot_3_oat",713911,98,3,"oat"
"plot_98_subplot_3_pea",713911,98,3,"pea"
"plot_98_subplot_3_weed",713911,98,3,"weed"
"plot_99_subplot_3_oat",714576,99,3,"oat"
"plot_99_subplot_3_pea",714576,99,3,"pea"
"plot_99_subplot_3_weed",714576,99,3,"weed"
"plot_100_subplot_3_oat",713893,100,3,"oat"
"plot_100_subplot_3_pea",713893,100,3,"pea"
"plot_100_subplot_3_weed",713893,100,3,"weed"
"plot_101_subplot_1_oat",714044,101,1,"oat"
"plot_101_subplot_1_pea",714044,101,1,"pea"
"plot_101_subplot_1_weed",714044,101,1,"weed"
"plot_102_subplot_1_oat",714217,102,1,"oat"
"plot_102_subplot_1_pea",714217,102,1,"pea"
"plot_102_subplot_1_weed",714217,102,1,"weed"
"plot_103_subplot_3_oat",713851,103,3,"oat"
"plot_103_subplot_3_pea",713851,103,3,"pea"
"plot_103_subplot_3_weed",713851,103,3,"weed"
"plot_104_subplot_3_oat",714303,104,3,"oat"
"plot_104_subplot_3_pea",714303,104,3,"pea"
"plot_104_subplot_3_weed",714303,104,3,"weed"
"plot_105_subplot_3_oat",713728,105,3,"oat"
"plot_105_subplot_3_pea",713728,105,3,"pea"
"plot_105_subplot_3_weed",713728,105,3,"weed"
"plot_106_subplot_3_oat",713923,106,3,"oat"
"plot_106_subplot_3_pea",713923,106,3,"pea"
"plot_106_subplot_3_weed",713923,106,3,"weed"
"plot_107_subplot_1_oat",713973,107,1,"oat"
"plot_107_subplot_1_pea",713973,107,1,"pea"
"plot_107_subplot_1_weed",713973,107,1,"weed"
"plot_108_subplot_1_oat",713666,108,1,"oat"
"plot_108_subplot_1_pea",713666,108,1,"pea"
"plot_108_subplot_1_weed",713666,108,1,"weed"
"plot_109_subplot_1_oat",714561,109,1,"oat"
"plot_109_subplot_1_pea",714561,109,1,"pea"
"plot_109_subplot_1_weed",714561,109,1,"weed"
"plot_110_subplot_1_oat",713756,110,1,"oat"
"plot_110_subplot_1_pea",713756,110,1,"pea"
"plot_110_subplot_1_weed",713756,110,1,"weed"
"plot_119_subplot_1_oat",714455,119,1,"oat"
"plot_119_subplot_1_pea",714455,119,1,"pea"
"plot_119_subplot_1_weed",714455,119,1,"weed"
"plot_120_subplot_1_oat",714566,120,1,"oat"
"plot_120_subplot_1_pea",714566,120,1,"pea"
"plot_120_subplot_1_weed",714566,120,1,"weed"
"plot_129_subplot_1_oat",713853,129,1,"oat"
"plot_129_subplot_1_pea",713853,129,1,"pea"
"plot_129_subplot_1_weed",713853,129,1,"weed"
"plot_130_subplot_1_oat",713640,130,1,"oat"
"plot_130_subplot_1_pea",713640,130,1,"pea"
"plot_130_subplot_1_weed",713640,130,1,"weed"
"plot_139_subplot_1_oat",714059,139,1,"oat"
"plot_139_subplot_1_pea",714059,139,1,"pea"
"plot_139_subplot_1_weed",714059,139,1,"weed"
"plot_140_subplot_1_oat",713835,140,1,"oat"
"plot_140_subplot_1_pea",713835,140,1,"pea"
"plot_140_subplot_1_weed",713835,140,1,"weed"
"plot_143_subplot_1_oat",713743,143,1,"oat"
"plot_143_subplot_1_pea",713743,143,1,"pea"
"plot_143_subplot_1_weed",713743,143,1,"weed"
"plot_144_subplot_1_oat",714408,144,1,"oat"
"plot_144_subplot_1_pea",714408,144,1,"pea"
"plot_144_subplot_1_weed",714408,144,1,"weed"
"plot_145_subplot_3_oat",713638,145,3,"oat"
"plot_145_subplot_3_pea",713638,145,3,"pea"
"plot_145_subplot_3_weed",713638,145,3,"weed"
"plot_146_subplot_3_oat",714017,146,3,"oat"
"plot_146_subplot_3_pea",714017,146,3,"pea"
"plot_146_subplot_3_weed",714017,146,3,"weed"
"plot_147_subplot_3_oat",713899,147,3,"oat"
"plot_147_subplot_3_pea",713899,147,3,"pea"
"plot_147_subplot_3_weed",713899,147,3,"weed"
"plot_148_subplot_3_oat",713735,148,3,"oat"
"plot_148_subplot_3_pea",713735,148,3,"pea"
